                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.839150E-02  2.5039E+05
 1.866600E-02  2.5163E+05
 1.948844E-02  2.5527E+05
 2.083314E-02  2.6094E+05
 2.227063E-02  2.6617E+05
 2.380730E-02  2.7060E+05
 2.545001E-02  2.7393E+05
 2.720606E-02  2.7590E+05
 2.908327E-02  2.7632E+05
 3.109002E-02  2.7505E+05
 3.323523E-02  2.7200E+05
 3.552846E-02  2.6715E+05
 3.797993E-02  2.6055E+05
 4.060054E-02  2.5231E+05
 4.340198E-02  2.4256E+05
 4.410000E-02  2.4003E+05
 4.477500E-02  2.3755E+05
 4.495500E-02  2.3689E+05
 4.522500E-02  2.4126E+05
 4.590000E-02  2.3900E+05
 4.639671E-02  2.3734E+05
 4.959809E-02  2.2659E+05
 5.302035E-02  2.1516E+05
 5.667876E-02  2.0311E+05
 6.058959E-02  1.9062E+05
 6.477028E-02  1.7784E+05
 6.923942E-02  1.6495E+05
 7.401695E-02  1.5209E+05
 7.912411E-02  1.3932E+05
 8.458368E-02  1.2676E+05
 9.041995E-02  1.1460E+05
 9.665893E-02  1.0300E+05
 1.033284E-01  9.2050E+04
 1.104581E-01  8.1840E+04
 1.180797E-01  7.2414E+04
 1.262272E-01  6.3791E+04
 1.349368E-01  5.5968E+04
 1.442475E-01  4.8925E+04
 1.542005E-01  4.2627E+04
 1.648404E-01  3.7030E+04
 1.762144E-01  3.2082E+04
 1.883732E-01  2.7729E+04
 2.013709E-01  2.3911E+04
 2.152655E-01  2.0578E+04
 2.301188E-01  1.7678E+04
 2.459970E-01  1.5163E+04
 2.629708E-01  1.2989E+04
 2.811158E-01  1.1113E+04
 3.005128E-01  9.4995E+03
 3.212482E-01  8.1134E+03
 3.434143E-01  6.9247E+03
 3.671099E-01  5.8453E+03
 3.924405E-01  4.9300E+03
 4.195189E-01  4.1555E+03
 4.484657E-01  3.5013E+03
 4.794098E-01  2.9492E+03
 5.124891E-01  2.4837E+03
 5.478508E-01  2.0916E+03
 5.856525E-01  1.7616E+03
 6.260625E-01  1.4837E+03
 6.692609E-01  1.2500E+03
 7.154399E-01  1.0535E+03
 7.648052E-01  8.8824E+02
 8.175768E-01  7.4926E+02
 8.495620E-01  6.7928E+02
 8.625655E-01  6.5273E+02
 8.660331E-01  6.4589E+02
 8.712345E-01  1.0217E+04
 8.739896E-01  1.0145E+04
 8.842380E-01  9.8833E+03
 9.342948E-01  8.7359E+03
 9.987612E-01  7.5026E+03
 1.067676E+00  6.3599E+03
 1.141345E+00  5.3686E+03
 1.220098E+00  4.5183E+03
 1.304285E+00  3.7951E+03
 1.394281E+00  3.1841E+03
 1.490486E+00  2.6670E+03
 1.593329E+00  2.2253E+03
 1.703269E+00  1.8564E+03
 1.820795E+00  1.5482E+03
 1.946430E+00  1.2910E+03
 2.080733E+00  1.0762E+03
 2.224304E+00  8.9693E+02
 2.377781E+00  7.4735E+02
 2.541848E+00  6.2258E+02
 2.717235E+00  5.1855E+02
 2.904724E+00  4.3185E+02
 3.105150E+00  3.5825E+02
 3.319406E+00  2.9614E+02
 3.548445E+00  2.4425E+02
 3.793288E+00  2.0054E+02
 4.055024E+00  1.6469E+02
 4.334821E+00  1.3527E+02
 4.633924E+00  1.1112E+02
 4.953664E+00  9.1302E+01
 5.295467E+00  7.5036E+01
 5.660855E+00  6.1683E+01
 6.051453E+00  5.0722E+01
 6.469004E+00  4.1720E+01
 6.915365E+00  3.4330E+01
 7.392525E+00  2.8260E+01
 7.902609E+00  2.3275E+01
 8.447890E+00  1.9179E+01
 9.030794E+00  1.5784E+01
 9.653919E+00  1.2911E+01
 1.032004E+01  1.0571E+01
 1.103212E+01  8.6645E+00
 1.179334E+01  7.1109E+00
 1.260708E+01  5.8444E+00
 1.347697E+01  4.8117E+00
 1.440688E+01  3.9694E+00
 1.540095E+01  3.2820E+00
 1.646362E+01  2.7192E+00
 1.759961E+01  2.2529E+00
 1.881398E+01  1.8734E+00
 2.011215E+01  1.5646E+00
 2.149988E+01  1.3128E+00
 2.298338E+01  1.1075E+00
 2.456923E+01  9.4000E-01
 2.626450E+01  8.0316E-01
 2.807676E+01  6.8965E-01
 3.001405E+01  5.9659E-01
 3.208502E+01  5.2058E-01
 3.429889E+01  4.5836E-01
 3.666551E+01  4.0732E-01
 3.919543E+01  3.6531E-01
 4.189992E+01  3.3062E-01
 4.479101E+01  3.0186E-01
 4.788159E+01  2.7789E-01
 5.118542E+01  2.5781E-01
 5.471721E+01  2.4088E-01
 5.849270E+01  2.2651E-01
 6.252870E+01  2.1420E-01
 6.684318E+01  2.0358E-01
 7.145536E+01  1.9432E-01
 7.638578E+01  1.8616E-01
 8.165640E+01  1.7893E-01
 8.729069E+01  1.7243E-01
 9.331374E+01  1.6653E-01
 9.975239E+01  1.6113E-01
 1.066353E+02  1.5611E-01
 1.139931E+02  1.5143E-01
 1.218587E+02  1.4704E-01
 1.302669E+02  1.4287E-01
 1.392553E+02  1.3891E-01
 1.488640E+02  1.3512E-01
 1.591356E+02  1.3147E-01
 1.701159E+02  1.2796E-01
 1.818539E+02  1.2456E-01
 1.944018E+02  1.2128E-01
 2.078156E+02  1.1810E-01
 2.221548E+02  1.1501E-01
 2.374835E+02  1.1201E-01
 2.538699E+02  1.0910E-01
 2.713869E+02  1.0628E-01
 2.901126E+02  1.0353E-01
 3.101304E+02  1.0087E-01
 3.315294E+02  9.8281E-02
 3.544049E+02  9.5777E-02
 3.788588E+02  9.3352E-02
 4.050001E+02  9.1006E-02
 4.329451E+02  8.8739E-02
