                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 7.774563E-03  3.0201E+05
 7.805818E-03  3.0873E+05
 7.852700E-03  6.1706E+05
 7.889576E-03  6.3320E+05
 7.969904E-03  6.6954E+05
 1.069000E-02  1.2334E+06
 1.142761E-02  9.9270E+05
 1.221612E-02  7.3818E+05
 1.305903E-02  5.1881E+05
 1.396010E-02  3.5134E+05
 1.492335E-02  2.3300E+05
 1.595306E-02  1.5338E+05
 1.705382E-02  1.0132E+05
 1.733447E-02  9.1697E+04
 1.759979E-02  8.3627E+04
 1.767054E-02  8.1627E+04
 1.777667E-02  7.8762E+04
 1.804199E-02  7.2101E+04
 1.823053E-02  6.7804E+04
 1.948844E-02  4.6314E+04
 2.083314E-02  3.2566E+04
 2.227063E-02  2.3830E+04
 2.380730E-02  1.8410E+04
 2.545001E-02  1.5237E+04
 2.720606E-02  1.3592E+04
 2.908327E-02  1.2951E+04
 3.109002E-02  1.2906E+04
 3.323523E-02  1.3153E+04
 3.552846E-02  1.3469E+04
 3.797993E-02  1.3709E+04
 4.060054E-02  1.3800E+04
 4.340198E-02  1.3733E+04
 4.639671E-02  1.3521E+04
 4.959809E-02  1.3195E+04
 5.302035E-02  1.2794E+04
 5.667876E-02  1.2351E+04
 6.058959E-02  1.1894E+04
 6.477028E-02  1.1454E+04
 6.923942E-02  1.1038E+04
 7.401695E-02  1.0645E+04
 7.912411E-02  1.0274E+04
 8.458368E-02  9.9199E+03
 9.041995E-02  9.5772E+03
 9.665893E-02  9.2386E+03
 1.033284E-01  8.8979E+03
 1.104581E-01  8.5500E+03
 1.180797E-01  8.1913E+03
 1.262272E-01  7.8203E+03
 1.349368E-01  7.4374E+03
 1.442475E-01  7.0440E+03
 1.542005E-01  6.4836E+03
 1.615040E-01  6.0768E+03
 1.639760E-01  5.9450E+03
 1.646352E-01  5.9103E+03
 1.648404E-01  1.0583E+05
 1.656240E-01  1.0509E+05
 1.680960E-01  1.0280E+05
 1.762144E-01  9.5815E+04
 1.883732E-01  8.6607E+04
 2.013709E-01  7.7718E+04
 2.152655E-01  6.9226E+04
 2.246160E-01  6.4073E+04
 2.280540E-01  6.2286E+04
 2.289708E-01  6.1819E+04
 2.301188E-01  6.8113E+04
 2.303460E-01  6.7995E+04
 2.337840E-01  6.6234E+04
 2.459970E-01  6.0412E+04
 2.629708E-01  5.3331E+04
 2.811158E-01  4.6841E+04
 3.005128E-01  4.0947E+04
 3.212482E-01  3.5642E+04
 3.434143E-01  3.0901E+04
 3.671099E-01  2.6696E+04
 3.924405E-01  2.2988E+04
 4.195189E-01  1.9739E+04
 4.484657E-01  1.6906E+04
 4.794098E-01  1.4445E+04
 5.124891E-01  1.2317E+04
 5.478508E-01  1.0482E+04
 5.856525E-01  8.9062E+03
 6.260625E-01  7.5553E+03
 6.692609E-01  6.4003E+03
 7.154399E-01  5.4137E+03
 7.648052E-01  4.5731E+03
 8.175768E-01  3.8592E+03
 8.739896E-01  3.2543E+03
 9.342948E-01  2.7428E+03
 9.987612E-01  2.3109E+03
 1.067676E+00  1.9158E+03
 1.141345E+00  1.5895E+03
 1.220098E+00  1.3203E+03
 1.304285E+00  1.0979E+03
 1.394281E+00  9.1392E+02
 1.490486E+00  7.6170E+02
 1.593329E+00  6.3557E+02
 1.703269E+00  5.3097E+02
 1.820795E+00  4.4410E+02
 1.946430E+00  3.7190E+02
 2.080733E+00  3.1181E+02
 2.224304E+00  2.6176E+02
 2.377781E+00  2.2001E+02
 2.422560E+00  2.0962E+02
 2.459640E+00  2.0154E+02
 2.469528E+00  1.9946E+02
 2.484360E+00  2.1526E+03
 2.521440E+00  2.0807E+03
 2.541848E+00  2.0426E+03
 2.717235E+00  1.7337E+03
 2.904724E+00  1.4578E+03
 3.105150E+00  1.2260E+03
 3.319406E+00  1.0290E+03
 3.548445E+00  8.6145E+02
 3.793288E+00  7.2127E+02
 4.055024E+00  6.0400E+02
 4.334821E+00  5.0583E+02
 4.633924E+00  4.2343E+02
 4.953664E+00  3.5442E+02
 5.295467E+00  2.9395E+02
 5.660855E+00  2.4384E+02
 6.051453E+00  2.0230E+02
 6.469004E+00  1.6786E+02
 6.915365E+00  1.3931E+02
 7.392525E+00  1.1563E+02
 7.902609E+00  9.5998E+01
 8.447890E+00  7.9710E+01
 9.030794E+00  6.6101E+01
 9.653919E+00  5.4539E+01
 1.032004E+01  4.5014E+01
 1.103212E+01  3.7062E+01
 1.179334E+01  3.0421E+01
 1.260708E+01  2.4981E+01
 1.347697E+01  2.0523E+01
 1.440688E+01  1.6872E+01
 1.540095E+01  1.3878E+01
 1.646362E+01  1.1424E+01
 1.759961E+01  9.4130E+00
 1.881398E+01  7.7634E+00
 2.011215E+01  6.4100E+00
 2.149988E+01  5.2996E+00
 2.298338E+01  4.3883E+00
 2.456923E+01  3.6400E+00
 2.626450E+01  3.0255E+00
 2.807676E+01  2.5070E+00
 3.001405E+01  2.0798E+00
 3.208502E+01  1.7314E+00
 3.429889E+01  1.4468E+00
 3.666551E+01  1.2145E+00
 3.919543E+01  1.0245E+00
 4.189992E+01  8.6911E-01
 4.479101E+01  7.4183E-01
 4.788159E+01  6.3747E-01
 5.118542E+01  5.5177E-01
 5.471721E+01  4.8081E-01
 5.849270E+01  4.2211E-01
 6.252870E+01  3.7379E-01
 6.684318E+01  3.3390E-01
 7.145536E+01  3.0088E-01
 7.638578E+01  2.7343E-01
 8.165640E+01  2.5050E-01
 8.729069E+01  2.3127E-01
 9.331374E+01  2.1504E-01
 9.975239E+01  2.0127E-01
 1.066353E+02  1.8951E-01
 1.139931E+02  1.7938E-01
 1.218587E+02  1.7058E-01
 1.302669E+02  1.6287E-01
 1.392553E+02  1.5604E-01
 1.488640E+02  1.4995E-01
 1.591356E+02  1.4444E-01
 1.701159E+02  1.3943E-01
 1.818539E+02  1.3481E-01
 1.944018E+02  1.3054E-01
 2.078156E+02  1.2653E-01
 2.221548E+02  1.2277E-01
 2.374835E+02  1.1919E-01
 2.538699E+02  1.1579E-01
 2.713869E+02  1.1252E-01
 2.901126E+02  1.0938E-01
 3.101304E+02  1.0635E-01
 3.315294E+02  1.0340E-01
 3.544049E+02  1.0056E-01
 3.788588E+02  9.7786E-02
 4.050001E+02  9.5092E-02
 4.329451E+02  9.2467E-02
