                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 8.643000E-03  5.4585E+05
 8.772000E-03  5.4656E+05
 1.069000E-02  5.4849E+05
 1.142761E-02  5.4210E+05
 1.221612E-02  5.3270E+05
 1.305903E-02  5.2087E+05
 1.396010E-02  5.0711E+05
 1.492335E-02  4.9186E+05
 1.595306E-02  4.7546E+05
 1.705382E-02  4.5822E+05
 1.823053E-02  4.4035E+05
 1.948844E-02  4.2205E+05
 2.083314E-02  4.0345E+05
 2.227063E-02  3.8468E+05
 2.380730E-02  3.6582E+05
 2.545001E-02  3.4696E+05
 2.720606E-02  3.2816E+05
 2.908327E-02  3.0948E+05
 3.038000E-02  2.9736E+05
 3.084500E-02  2.9316E+05
 3.096900E-02  2.9206E+05
 3.109002E-02  2.9934E+05
 3.115500E-02  2.9881E+05
 3.162000E-02  2.9510E+05
 3.323523E-02  2.8280E+05
 3.552846E-02  2.6681E+05
 3.797993E-02  2.5094E+05
 4.060054E-02  2.3519E+05
 4.340198E-02  2.1963E+05
 4.639671E-02  2.0431E+05
 4.959809E-02  1.8930E+05
 5.302035E-02  1.7468E+05
 5.667876E-02  1.6053E+05
 6.058959E-02  1.4690E+05
 6.477028E-02  1.3388E+05
 6.923942E-02  1.2151E+05
 7.401695E-02  1.0985E+05
 7.912411E-02  9.8922E+04
 8.458368E-02  8.8755E+04
 9.041995E-02  7.9355E+04
 9.665893E-02  7.0717E+04
 1.033284E-01  6.2825E+04
 1.104581E-01  5.5655E+04
 1.180797E-01  4.9173E+04
 1.262272E-01  4.3341E+04
 1.349368E-01  3.8109E+04
 1.442475E-01  3.3434E+04
 1.542005E-01  2.9275E+04
 1.648404E-01  2.5449E+04
 1.762144E-01  2.1813E+04
 1.883732E-01  1.8661E+04
 2.013709E-01  1.5939E+04
 2.152655E-01  1.3595E+04
 2.301188E-01  1.1581E+04
 2.459970E-01  9.8550E+03
 2.629708E-01  8.3793E+03
 2.811158E-01  7.1196E+03
 3.005128E-01  6.0460E+03
 3.212482E-01  5.1323E+03
 3.434143E-01  4.3553E+03
 3.671099E-01  3.6955E+03
 3.924405E-01  3.1356E+03
 4.195189E-01  2.6605E+03
 4.484657E-01  2.2578E+03
 4.794098E-01  1.9164E+03
 5.124891E-01  1.6273E+03
 5.478508E-01  1.3822E+03
 5.856525E-01  1.1737E+03
 6.260625E-01  9.9018E+02
 6.692609E-01  8.3491E+02
 6.716920E-01  8.2720E+02
 6.819730E-01  7.9565E+02
 6.847146E-01  7.8752E+02
 6.888270E-01  1.3726E+04
 6.991080E-01  1.3246E+04
 7.154399E-01  1.2531E+04
 7.648052E-01  1.0675E+04
 8.175768E-01  9.0822E+03
 8.739896E-01  7.7141E+03
 9.342948E-01  6.5430E+03
 9.987612E-01  5.5441E+03
 1.067676E+00  4.6774E+03
 1.141345E+00  3.9424E+03
 1.220098E+00  3.3007E+03
 1.304285E+00  2.7564E+03
 1.394281E+00  2.3002E+03
 1.490486E+00  1.9183E+03
 1.593329E+00  1.5990E+03
 1.703269E+00  1.3322E+03
 1.820795E+00  1.1095E+03
 1.946430E+00  9.2379E+02
 2.080733E+00  7.6898E+02
 2.224304E+00  6.4000E+02
 2.377781E+00  5.3261E+02
 2.541848E+00  4.4321E+02
 2.717235E+00  3.6882E+02
 2.904724E+00  3.0515E+02
 3.105150E+00  2.5119E+02
 3.319406E+00  2.0596E+02
 3.548445E+00  1.6889E+02
 3.793288E+00  1.3852E+02
 4.055024E+00  1.1362E+02
 4.334821E+00  9.3212E+01
 4.633924E+00  7.6488E+01
 4.953664E+00  6.2779E+01
 5.295467E+00  5.1541E+01
 5.660855E+00  4.2327E+01
 6.051453E+00  3.4772E+01
 6.469004E+00  2.8578E+01
 6.915365E+00  2.3497E+01
 7.392525E+00  1.9331E+01
 7.902609E+00  1.5911E+01
 8.447890E+00  1.3107E+01
 9.030794E+00  1.0786E+01
 9.653919E+00  8.8287E+00
 1.032004E+01  7.2354E+00
 1.103212E+01  5.9381E+00
 1.179334E+01  4.8815E+00
 1.260708E+01  4.0207E+00
 1.347697E+01  3.3102E+00
 1.440688E+01  2.7294E+00
 1.540095E+01  2.2575E+00
 1.646362E+01  1.8740E+00
 1.759961E+01  1.5623E+00
 1.881398E+01  1.3087E+00
 2.011215E+01  1.1024E+00
 2.149988E+01  9.3423E-01
 2.298338E+01  7.9708E-01
 2.456923E+01  6.8509E-01
 2.626450E+01  5.9351E-01
 2.807676E+01  5.1737E-01
 3.001405E+01  4.5481E-01
 3.208502E+01  4.0360E-01
 3.429889E+01  3.6155E-01
 3.666551E+01  3.2692E-01
 3.919543E+01  2.9826E-01
 4.189992E+01  2.7443E-01
 4.479101E+01  2.5452E-01
 4.788159E+01  2.3776E-01
 5.118542E+01  2.2357E-01
 5.471721E+01  2.1144E-01
 5.849270E+01  2.0098E-01
 6.252870E+01  1.9187E-01
 6.684318E+01  1.8387E-01
 7.145536E+01  1.7675E-01
 7.638578E+01  1.7036E-01
 8.165640E+01  1.6456E-01
 8.729069E+01  1.5924E-01
 9.331374E+01  1.5432E-01
 9.975239E+01  1.4972E-01
 1.066353E+02  1.4541E-01
 1.139931E+02  1.4131E-01
 1.218587E+02  1.3741E-01
 1.302669E+02  1.3367E-01
 1.392553E+02  1.3009E-01
 1.488640E+02  1.2663E-01
 1.591356E+02  1.2329E-01
 1.701159E+02  1.2006E-01
 1.818539E+02  1.1692E-01
 1.944018E+02  1.1388E-01
 2.078156E+02  1.1093E-01
 2.221548E+02  1.0806E-01
 2.374835E+02  1.0528E-01
 2.538699E+02  1.0259E-01
 2.713869E+02  9.9972E-02
 2.901126E+02  9.7438E-02
 3.101304E+02  9.4986E-02
 3.315294E+02  9.2617E-02
 3.544049E+02  9.0327E-02
 3.788588E+02  8.8119E-02
 4.050001E+02  8.5992E-02
 4.329451E+02  8.3946E-02
