                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.069000E-02  6.6288E+03
 1.142761E-02  6.8564E+03
 1.221612E-02  7.1080E+03
 1.305903E-02  7.3837E+03
 1.396010E-02  7.6836E+03
 1.492335E-02  8.0058E+03
 1.595306E-02  8.3470E+03
 1.705382E-02  8.7050E+03
 1.823053E-02  9.0774E+03
 1.948844E-02  9.4612E+03
 2.083314E-02  9.8528E+03
 2.185400E-02  1.0136E+04
 2.218850E-02  1.0226E+04
 2.227063E-02  1.0248E+04
 2.227770E-02  1.0250E+04
 2.241150E-02  1.7741E+05
 2.274600E-02  1.6851E+05
 2.380730E-02  1.4405E+05
 2.545001E-02  1.1478E+05
 2.720606E-02  9.0748E+04
 2.908327E-02  7.1673E+04
 3.109002E-02  5.7019E+04
 3.323523E-02  4.6020E+04
 3.552846E-02  3.7889E+04
 3.665200E-02  3.4878E+04
 3.721300E-02  3.3561E+04
 3.736260E-02  3.3229E+04
 3.758700E-02  3.2914E+04
 3.797993E-02  3.2111E+04
 3.814800E-02  3.1781E+04
 4.060054E-02  2.7808E+04
 4.340198E-02  2.4683E+04
 4.639671E-02  2.2399E+04
 4.959809E-02  2.0694E+04
 5.302035E-02  1.9408E+04
 5.667876E-02  1.8421E+04
 6.058959E-02  1.7645E+04
 6.477028E-02  1.7015E+04
 6.923942E-02  1.5944E+04
 7.401695E-02  1.4793E+04
 7.912411E-02  1.3700E+04
 8.458368E-02  1.2656E+04
 9.041995E-02  1.1658E+04
 9.665893E-02  1.0704E+04
 1.033284E-01  9.7968E+03
 1.104581E-01  8.9354E+03
 1.109360E-01  8.8813E+03
 1.126340E-01  8.6925E+03
 1.130868E-01  8.6430E+03
 1.137660E-01  9.2571E+04
 1.154640E-01  7.4805E+04
 1.180797E-01  5.4681E+04
 1.262272E-01  2.3615E+04
 1.349368E-01  1.3572E+04
 1.442475E-01  9.7694E+03
 1.542005E-01  7.8924E+03
 1.648404E-01  6.7665E+03
 1.762144E-01  6.0042E+03
 1.883732E-01  5.4565E+03
 2.013709E-01  5.0576E+03
 2.132480E-01  4.8078E+03
 2.152655E-01  4.7739E+03
 2.165120E-01  4.7541E+03
 2.173824E-01  4.7407E+03
 2.186880E-01  6.0563E+03
 2.219520E-01  6.0076E+03
 2.301188E-01  5.9062E+03
 2.315740E-01  5.8910E+03
 2.351185E-01  5.8568E+03
 2.360637E-01  5.8484E+03
 2.374815E-01  6.2458E+03
 2.410260E-01  6.2180E+03
 2.459970E-01  6.1842E+03
 2.629708E-01  6.1058E+03
 2.811158E-01  6.0605E+03
 2.984100E-01  6.0319E+03
 3.005128E-01  6.0286E+03
 3.029775E-01  6.0247E+03
 3.041955E-01  6.0227E+03
 3.060225E-01  6.5245E+03
 3.105900E-01  6.5123E+03
 3.212482E-01  6.4818E+03
 3.434143E-01  6.4017E+03
 3.671099E-01  6.2821E+03
 3.924405E-01  6.1146E+03
 4.195189E-01  5.8967E+03
 4.484657E-01  5.6303E+03
 4.794098E-01  5.3199E+03
 5.124891E-01  4.9724E+03
 5.478508E-01  4.6028E+03
 5.856525E-01  4.2250E+03
 6.260625E-01  3.8509E+03
 6.692609E-01  3.4895E+03
 7.154399E-01  3.1470E+03
 7.648052E-01  2.8273E+03
 8.175768E-01  2.5328E+03
 8.739896E-01  2.2638E+03
 9.123800E-01  2.1038E+03
 9.263450E-01  2.0497E+03
 9.300690E-01  2.0356E+03
 9.320780E-01  8.5978E+03
 9.342948E-01  8.5410E+03
 9.356550E-01  8.5065E+03
 9.463445E-01  8.2415E+03
 9.501489E-01  8.1500E+03
 9.558555E-01  1.2231E+04
 9.701220E-01  1.1713E+04
 9.987612E-01  1.0759E+04
