                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 5.366700E-03  1.2165E+05
 5.446800E-03  1.2230E+05
 1.069000E-02  1.0064E+05
 1.142761E-02  9.4014E+04
 1.221612E-02  8.7249E+04
 1.305903E-02  8.0477E+04
 1.396010E-02  7.3813E+04
 1.492335E-02  6.7348E+04
 1.595306E-02  6.1155E+04
 1.705382E-02  5.5284E+04
 1.823053E-02  4.9772E+04
 1.948844E-02  4.4641E+04
 2.083314E-02  3.9900E+04
 2.227063E-02  3.5543E+04
 2.380730E-02  3.1553E+04
 2.545001E-02  2.7922E+04
 2.720606E-02  2.4637E+04
 2.908327E-02  2.1683E+04
 3.109002E-02  1.9037E+04
 3.323523E-02  1.6678E+04
 3.552846E-02  1.4583E+04
 3.797993E-02  1.2729E+04
 4.060054E-02  1.1092E+04
 4.340198E-02  9.6509E+03
 4.639671E-02  8.3856E+03
 4.959809E-02  7.2770E+03
 5.302035E-02  6.3076E+03
 5.365500E-02  6.1482E+03
 5.447625E-02  5.9501E+03
 5.469525E-02  5.8988E+03
 5.502375E-02  2.8513E+05
 5.584500E-02  2.8210E+05
 5.667876E-02  2.7909E+05
 6.058959E-02  2.6597E+05
 6.477028E-02  2.5069E+05
 6.923942E-02  2.3217E+05
 7.401695E-02  2.1171E+05
 7.912411E-02  1.9047E+05
 8.458368E-02  1.6935E+05
 9.041995E-02  1.4904E+05
 9.665893E-02  1.3001E+05
 1.033284E-01  1.1254E+05
 1.104581E-01  9.6781E+04
 1.180797E-01  8.2763E+04
 1.262272E-01  7.0439E+04
 1.349368E-01  5.9708E+04
 1.442475E-01  5.0439E+04
 1.542005E-01  4.2485E+04
 1.648404E-01  3.5697E+04
 1.762144E-01  2.9930E+04
 1.883732E-01  2.5050E+04
 2.013709E-01  2.0934E+04
 2.152655E-01  1.7470E+04
 2.301188E-01  1.4561E+04
 2.459970E-01  1.2120E+04
 2.629708E-01  1.0077E+04
 2.811158E-01  8.3688E+03
 3.005128E-01  6.9431E+03
 3.212482E-01  5.7548E+03
 3.434143E-01  4.7655E+03
 3.671099E-01  3.9426E+03
 3.924405E-01  3.2590E+03
 4.195189E-01  2.6917E+03
 4.484657E-01  2.2212E+03
 4.794098E-01  1.8315E+03
 5.124891E-01  1.5091E+03
 5.478508E-01  1.2424E+03
 5.856525E-01  1.0220E+03
 6.260625E-01  8.4013E+02
 6.692609E-01  6.9017E+02
 7.154399E-01  5.6660E+02
 7.648052E-01  4.6488E+02
 8.175768E-01  3.8120E+02
 8.739896E-01  3.1243E+02
 9.342948E-01  2.5596E+02
 9.987612E-01  2.0960E+02
 1.067676E+00  1.7034E+02
 1.141345E+00  1.3803E+02
 1.220098E+00  1.1186E+02
 1.304285E+00  9.0673E+01
 1.394281E+00  7.3508E+01
 1.490486E+00  5.9606E+01
 1.593329E+00  4.8344E+01
 1.703269E+00  3.9224E+01
 1.820795E+00  3.1835E+01
 1.946430E+00  2.5850E+01
 2.080733E+00  2.1000E+01
 2.224304E+00  1.7072E+01
 2.377781E+00  1.3888E+01
 2.541848E+00  1.1307E+01
 2.717235E+00  9.2148E+00
 2.904724E+00  7.5187E+00
 3.105150E+00  6.1166E+00
 3.319406E+00  4.9646E+00
 3.548445E+00  4.0382E+00
 3.793288E+00  3.2930E+00
 4.055024E+00  2.6932E+00
 4.334821E+00  2.2104E+00
 4.633924E+00  1.8214E+00
 4.953664E+00  1.5078E+00
 5.295467E+00  1.2547E+00
 5.660855E+00  1.0504E+00
 6.051453E+00  8.8529E-01
 6.469004E+00  7.5169E-01
 6.915365E+00  6.4348E-01
 7.392525E+00  5.5572E-01
 7.902609E+00  4.8445E-01
 8.447890E+00  4.2649E-01
 9.030794E+00  3.7913E-01
 9.653919E+00  3.4014E-01
 1.032004E+01  3.0837E-01
 1.103212E+01  2.8242E-01
