                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.069000E-02  7.3944E+03
 1.142761E-02  7.6926E+03
 1.221612E-02  8.0178E+03
 1.305903E-02  8.3698E+03
 1.396010E-02  8.7480E+03
 1.492335E-02  9.1520E+03
 1.595306E-02  9.5806E+03
 1.705382E-02  1.0032E+04
 1.823053E-02  1.0505E+04
 1.948844E-02  1.0996E+04
 2.067800E-02  1.1445E+04
 2.083314E-02  1.1502E+04
 2.099450E-02  1.1562E+04
 2.107890E-02  1.1593E+04
 2.120550E-02  2.0077E+05
 2.152200E-02  1.9096E+05
 2.227063E-02  1.7028E+05
 2.380730E-02  1.3657E+05
 2.545001E-02  1.0869E+05
 2.720606E-02  8.6231E+04
 2.908327E-02  6.8802E+04
 3.109002E-02  5.5632E+04
 3.323523E-02  4.5868E+04
 3.552846E-02  3.8726E+04
 3.675000E-02  3.5892E+04
 3.731250E-02  3.4762E+04
 3.746250E-02  3.4478E+04
 3.768750E-02  3.4227E+04
 3.797993E-02  3.3714E+04
 3.825000E-02  3.3260E+04
 4.060054E-02  3.0012E+04
 4.340198E-02  2.7361E+04
 4.639671E-02  2.5457E+04
 4.959809E-02  2.4083E+04
 5.302035E-02  2.3078E+04
 5.667876E-02  2.2250E+04
 6.058959E-02  2.0810E+04
 6.477028E-02  1.9480E+04
 6.923942E-02  1.8227E+04
 7.401695E-02  1.7031E+04
 7.912411E-02  1.5878E+04
 8.458368E-02  1.4763E+04
 9.041995E-02  1.3684E+04
 9.665893E-02  1.2643E+04
 1.0000000E-01  1.2128E+04
 1.0050000E-01  1.2053E+04
 1.0100250E-01  1.1978E+04
 1.0150751E-01  1.1904E+04
 1.0201505E-01  1.1830E+04
 1.0252513E-01  1.1756E+04
 1.0303775E-01  1.1682E+04
 1.0355294E-01  1.1609E+04
 1.0407070E-01  1.1535E+04
 1.0459106E-01  1.1462E+04
 1.0511401E-01  1.1390E+04
 1.0563958E-01  1.1317E+04
 1.0616778E-01  1.1245E+04
 1.0669862E-01  1.1173E+04
 1.0723211E-01  1.1101E+04
 1.0776827E-01  1.1029E+04
 1.0830712E-01  1.0958E+04
 1.0884865E-01  1.0887E+04
 1.0939289E-01  1.0816E+04
 1.0993986E-01  1.0745E+04
 1.1048956E-01  1.0675E+04
 1.1104201E-01  1.0605E+04
 1.1159722E-01  1.0535E+04
 1.1215520E-01  1.0465E+04
 1.1271598E-01  1.0396E+04
 1.1327956E-01  1.0327E+04
 1.1384596E-01  1.0258E+04
 1.1441519E-01  1.0189E+04
 1.1498726E-01  1.0121E+04
 1.1556220E-01  1.0053E+04
 1.1614001E-01  9.9847E+03
 1.1672071E-01  9.9171E+03
 1.1730431E-01  9.8498E+03
 1.1748954E-01  9.8285E+03
 1.1751046E-01  8.1490E+04
 1.1751048E-01  8.1489E+04
 1.1789083E-01  7.8014E+04
 1.1848029E-01  7.2971E+04
 1.1907269E-01  6.8290E+04
 1.1966805E-01  6.3947E+04
 1.2026639E-01  5.9916E+04
 1.2086772E-01  5.6174E+04
 1.2147206E-01  5.2700E+04
 1.2207942E-01  4.9476E+04
 1.2268982E-01  4.6482E+04
 1.2330327E-01  4.3702E+04
 1.2391979E-01  4.1120E+04
 1.2453939E-01  3.8723E+04
 1.2516208E-01  3.6495E+04
 1.2578789E-01  3.4426E+04
 1.2641683E-01  3.2503E+04
 1.2704892E-01  3.0717E+04
 1.2768416E-01  2.9056E+04
 1.2832258E-01  2.7512E+04
 1.2896419E-01  2.6076E+04
 1.2960902E-01  2.4743E+04
 1.3025706E-01  2.3524E+04
 1.3090835E-01  2.2412E+04
 1.3156289E-01  2.1396E+04
 1.3222070E-01  2.0465E+04
 1.3288181E-01  1.9612E+04
 1.3354621E-01  1.8827E+04
 1.3421395E-01  1.8105E+04
 1.3488502E-01  1.7439E+04
 1.3555944E-01  1.6823E+04
 1.3623724E-01  1.6253E+04
 1.3691842E-01  1.5725E+04
 1.3760302E-01  1.5234E+04
 1.3829103E-01  1.4778E+04
 1.3898249E-01  1.4352E+04
 1.3967740E-01  1.3955E+04
 1.4037579E-01  1.3584E+04
