                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.069000E-02  1.0037E+05
 1.142761E-02  1.0130E+05
 1.221612E-02  1.0234E+05
 1.305903E-02  1.0346E+05
 1.396010E-02  1.0464E+05
 1.492335E-02  1.0583E+05
 1.595306E-02  1.0691E+05
 1.705382E-02  1.0785E+05
 1.823053E-02  1.0861E+05
 1.948844E-02  1.0917E+05
 2.083314E-02  1.0949E+05
 2.227063E-02  1.0956E+05
 2.380730E-02  1.0937E+05
 2.545001E-02  1.0891E+05
 2.720606E-02  1.0818E+05
 2.908327E-02  1.0718E+05
 3.109002E-02  1.0592E+05
 3.323523E-02  1.0427E+05
 3.552846E-02  1.0216E+05
 3.797993E-02  9.9741E+04
 4.060054E-02  9.7039E+04
 4.340198E-02  9.4080E+04
 4.639671E-02  9.0896E+04
 4.959809E-02  8.7520E+04
 5.292000E-02  8.4092E+04
 5.302035E-02  8.3990E+04
 5.373000E-02  8.3272E+04
 5.394600E-02  8.3054E+04
 5.427000E-02  1.1121E+05
 5.508000E-02  1.0824E+05
 5.667876E-02  1.0296E+05
 6.058959E-02  9.2554E+04
 6.477028E-02  8.4927E+04
 6.923942E-02  7.7903E+04
 7.401695E-02  7.0070E+04
 7.912411E-02  6.3163E+04
 8.458368E-02  5.7003E+04
 9.041995E-02  5.1487E+04
 9.104200E-02  5.0954E+04
 9.243550E-02  4.9795E+04
 9.280710E-02  4.9494E+04
 9.336450E-02  5.2465E+04
 9.475800E-02  5.1383E+04
 9.665893E-02  4.9973E+04
 1.033284E-01  4.5571E+04
 1.104581E-01  4.1626E+04
 1.180797E-01  3.8081E+04
 1.262272E-01  3.4893E+04
 1.349368E-01  3.2019E+04
 1.442475E-01  2.9414E+04
 1.542005E-01  2.7038E+04
 1.648404E-01  2.4854E+04
 1.762144E-01  2.2832E+04
 1.883732E-01  2.0947E+04
 2.013709E-01  1.9179E+04
 2.152655E-01  1.7514E+04
 2.301188E-01  1.5939E+04
 2.459970E-01  1.4443E+04
 2.629708E-01  1.3032E+04
 2.811158E-01  1.1706E+04
 3.005128E-01  1.0470E+04
 3.212482E-01  9.3276E+03
 3.434143E-01  8.2791E+03
 3.671099E-01  7.3235E+03
 3.924405E-01  6.4583E+03
 4.195189E-01  5.6793E+03
 4.484657E-01  4.9821E+03
 4.794098E-01  4.3611E+03
 5.124891E-01  3.8105E+03
 5.478508E-01  3.3242E+03
 5.856525E-01  2.8962E+03
 6.260625E-01  2.5206E+03
 6.692609E-01  2.1917E+03
 6.939380E-01  2.0310E+03
 7.045595E-01  1.9670E+03
 7.066780E-01  1.9546E+03
 7.073919E-01  1.9504E+03
 7.116405E-01  1.2347E+04
 7.154399E-01  1.2184E+04
 7.174945E-01  1.2097E+04
 7.203789E-01  1.1977E+04
 7.222620E-01  1.7000E+04
 7.247055E-01  1.6857E+04
 7.355220E-01  1.6244E+04
 7.648052E-01  1.4732E+04
 8.175768E-01  1.2474E+04
 8.291780E-01  1.2047E+04
 8.418695E-01  1.1603E+04
 8.452539E-01  1.1489E+04
 8.503305E-01  1.2905E+04
 8.630220E-01  1.2465E+04
 8.739896E-01  1.2102E+04
 9.342948E-01  1.0355E+04
 9.987612E-01  8.8607E+03
 1.067676E+00  7.5460E+03
 1.141345E+00  6.4230E+03
 1.220098E+00  5.4579E+03
 1.304285E+00  4.6043E+03
 1.394281E+00  3.8843E+03
 1.490486E+00  3.2718E+03
 1.593329E+00  2.7529E+03
 1.703269E+00  2.3161E+03
 1.820795E+00  1.9483E+03
 1.946430E+00  1.6392E+03
 2.080733E+00  1.3795E+03
 2.224304E+00  1.1615E+03
 2.377781E+00  9.7860E+02
 2.541848E+00  8.2500E+02
 2.717235E+00  6.9604E+02
 2.904724E+00  5.8674E+02
 3.105150E+00  4.8954E+02
 3.319406E+00  4.0626E+02
 3.548445E+00  3.3646E+02
 3.793288E+00  2.7857E+02
 4.055024E+00  2.3092E+02
 4.334821E+00  1.9164E+02
 4.633924E+00  1.5924E+02
 4.953664E+00  1.3248E+02
 5.295467E+00  1.1035E+02
 5.660855E+00  9.2046E+01
 6.051453E+00  7.6873E+01
 6.469004E+00  6.4287E+01
 6.915365E+00  5.3834E+01
 6.969760E+00  5.2729E+01
 7.076440E+00  5.0652E+01
 7.104888E+00  5.0118E+01
 7.147560E+00  4.1293E+02
 7.254240E+00  3.9527E+02
 7.392525E+00  3.7387E+02
 7.902609E+00  3.1302E+02
 8.447890E+00  2.6449E+02
 9.030794E+00  2.2299E+02
 9.653919E+00  1.8641E+02
 1.032004E+01  1.5570E+02
 1.103212E+01  1.3007E+02
 1.179334E+01  1.0868E+02
 1.260708E+01  9.0830E+01
 1.347697E+01  7.5925E+01
 1.440688E+01  6.3364E+01
 1.540095E+01  5.2527E+01
 1.646362E+01  4.3541E+01
 1.759961E+01  3.6092E+01
 1.881398E+01  2.9926E+01
 2.011215E+01  2.4823E+01
 2.149988E+01  2.0599E+01
 2.298338E+01  1.7102E+01
 2.456923E+01  1.4205E+01
 2.626450E+01  1.1806E+01
 2.807676E+01  9.7736E+00
 3.001405E+01  8.0858E+00
 3.208502E+01  6.6748E+00
 3.429889E+01  5.5048E+00
 3.666551E+01  4.5458E+00
 3.919543E+01  3.7595E+00
 4.189992E+01  3.1145E+00
 4.479101E+01  2.5851E+00
 4.788159E+01  2.1506E+00
 5.118542E+01  1.7938E+00
 5.471721E+01  1.5008E+00
 5.849270E+01  1.2599E+00
 6.252870E+01  1.0618E+00
 6.684318E+01  8.9883E-01
 7.145536E+01  7.6457E-01
 7.638578E+01  6.5389E-01
 8.165640E+01  5.6188E-01
 8.729069E+01  4.8476E-01
 9.331374E+01  4.2128E-01
 9.975239E+01  3.6894E-01
 1.066353E+02  3.2567E-01
 1.139931E+02  2.8983E-01
 1.218587E+02  2.6003E-01
 1.302669E+02  2.3518E-01
 1.392553E+02  2.1436E-01
 1.488640E+02  1.9685E-01
 1.591356E+02  1.8202E-01
 1.701159E+02  1.6941E-01
 1.818539E+02  1.5860E-01
 1.944018E+02  1.4925E-01
 2.078156E+02  1.4112E-01
 2.221548E+02  1.3397E-01
 2.374835E+02  1.2765E-01
 2.538699E+02  1.2198E-01
 2.713869E+02  1.1687E-01
 2.901126E+02  1.1220E-01
 3.101304E+02  1.0791E-01
 3.315294E+02  1.0394E-01
 3.544049E+02  1.0022E-01
 3.788588E+02  9.6729E-02
 4.050001E+02  9.3420E-02
 4.329451E+02  9.0270E-02
