                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.999950E-02  4.4953E+05
 2.029800E-02  4.2520E+05
 2.083314E-02  3.8563E+05
 2.227063E-02  2.9984E+05
 2.380730E-02  2.2637E+05
 2.545001E-02  1.6571E+05
 2.720606E-02  1.1895E+05
 2.908327E-02  8.4538E+04
 3.109002E-02  5.9956E+04
 3.323523E-02  4.2709E+04
 3.552846E-02  3.0716E+04
 3.694600E-02  2.5473E+04
 3.751150E-02  2.3721E+04
 3.766230E-02  2.3281E+04
 3.788850E-02  2.3186E+04
 3.797993E-02  2.2940E+04
 3.845400E-02  2.1720E+04
 4.060054E-02  1.7271E+04
 4.340198E-02  1.3356E+04
 4.639671E-02  1.0626E+04
 4.959809E-02  8.7014E+03
 5.302035E-02  7.3256E+03
 5.667876E-02  6.3247E+03
 6.058959E-02  5.5807E+03
 6.477028E-02  5.0136E+03
 6.923942E-02  4.5691E+03
 7.401695E-02  4.2105E+03
 7.912411E-02  3.9130E+03
 8.458368E-02  3.6604E+03
 9.041995E-02  3.4418E+03
 9.665893E-02  3.2484E+03
 1.033284E-01  3.0739E+03
 1.104581E-01  2.9141E+03
 1.180797E-01  2.7659E+03
 1.262272E-01  2.6270E+03
 1.304380E-01  2.5616E+03
 1.323000E-01  2.5338E+03
 1.324345E-01  2.5318E+03
 1.329669E-01  2.5240E+03
 1.337655E-01  4.4782E+03
 1.343250E-01  4.5434E+03
 1.349368E-01  4.6174E+03
 1.356750E-01  6.0313E+03
 1.357620E-01  6.0500E+03
 1.377000E-01  6.4930E+03
 1.442475E-01  8.4265E+03
 1.542005E-01  1.2731E+04
 1.648404E-01  1.8151E+04
 1.762144E-01  2.3928E+04
 1.883732E-01  2.9233E+04
 2.013709E-01  3.3378E+04
 2.152655E-01  3.5970E+04
 2.301188E-01  3.6941E+04
 2.459970E-01  3.6466E+04
 2.629708E-01  3.4860E+04
 2.637180E-01  3.4772E+04
 2.677545E-01  3.4278E+04
 2.688309E-01  3.4142E+04
 2.704455E-01  3.6748E+04
 2.742040E-01  3.6263E+04
 2.744820E-01  3.6226E+04
 2.784010E-01  3.5701E+04
 2.795202E-01  3.5548E+04
 2.811158E-01  3.6505E+04
 2.811990E-01  3.6494E+04
 2.853960E-01  3.5917E+04
 3.005128E-01  3.3778E+04
 3.212482E-01  3.0829E+04
 3.434143E-01  2.7821E+04
 3.503500E-01  2.6930E+04
 3.557125E-01  2.6259E+04
 3.571425E-01  2.6083E+04
 3.592875E-01  2.6957E+04
 3.646500E-01  2.6301E+04
 3.671099E-01  2.6006E+04
 3.924405E-01  2.3166E+04
 4.195189E-01  2.0531E+04
 4.484657E-01  1.8120E+04
 4.794098E-01  1.5938E+04
 5.124891E-01  1.3980E+04
 5.478508E-01  1.2230E+04
 5.856525E-01  1.0671E+04
 6.260625E-01  9.2879E+03
 6.692609E-01  8.0674E+03
 7.154399E-01  6.9942E+03
 7.648052E-01  6.0537E+03
 8.175768E-01  5.2322E+03
 8.739896E-01  4.5164E+03
 9.342948E-01  3.8944E+03
 9.987612E-01  3.3550E+03
