                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 2.472300E-02  8.4663E+05
 2.509200E-02  8.2316E+05
 2.545001E-02  8.0128E+05
 2.720606E-02  7.0509E+05
 2.908327E-02  6.1945E+05
 3.109002E-02  5.4334E+05
 3.323523E-02  4.7581E+05
 3.552846E-02  4.1601E+05
 3.797993E-02  3.6314E+05
 4.060054E-02  3.1648E+05
 4.340198E-02  2.7537E+05
 4.639671E-02  2.3922E+05
 4.959809E-02  2.0748E+05
 5.302035E-02  1.7967E+05
 5.667876E-02  1.5533E+05
 6.058959E-02  1.3407E+05
 6.477028E-02  1.1554E+05
 6.923942E-02  9.9407E+04
 7.401695E-02  8.5391E+04
 7.912411E-02  7.3234E+04
 8.458368E-02  6.2706E+04
 9.041995E-02  5.3606E+04
 9.665893E-02  4.5753E+04
 1.033284E-01  3.8987E+04
 1.104581E-01  3.3169E+04
 1.180797E-01  2.8174E+04
 1.262272E-01  2.3892E+04
 1.349368E-01  2.0229E+04
 1.442475E-01  1.7100E+04
 1.542005E-01  1.4431E+04
 1.648404E-01  1.2160E+04
 1.762144E-01  1.0230E+04
 1.883732E-01  8.5919E+03
 2.013709E-01  7.2049E+03
 2.152655E-01  6.0320E+03
 2.301188E-01  5.0420E+03
 2.459970E-01  4.2077E+03
 2.629708E-01  3.5058E+03
 2.811158E-01  2.9163E+03
 3.005128E-01  2.4221E+03
 3.212482E-01  2.0084E+03
 3.434143E-01  1.6627E+03
 3.671099E-01  1.3743E+03
 3.924405E-01  1.1341E+03
 4.195189E-01  9.3446E+02
 4.484657E-01  7.6870E+02
 4.794098E-01  6.3136E+02
 5.124891E-01  5.1773E+02
 5.478508E-01  4.2389E+02
 5.856525E-01  3.4651E+02
 6.260625E-01  2.8282E+02
 6.692609E-01  2.3049E+02
 7.154399E-01  1.8756E+02
 7.648052E-01  1.5238E+02
 8.175768E-01  1.2363E+02
 8.739896E-01  1.0016E+02
 9.342948E-01  8.1027E+01
 9.987612E-01  6.5461E+01
 1.067676E+00  5.2622E+01
 1.141345E+00  4.2274E+01
 1.220098E+00  3.3946E+01
 1.304285E+00  2.7250E+01
 1.394281E+00  2.1870E+01
 1.490486E+00  1.7551E+01
 1.593329E+00  1.4088E+01
 1.703269E+00  1.1311E+01
 1.820795E+00  9.0882E+00
 1.946430E+00  7.3086E+00
 2.080733E+00  5.8850E+00
 2.224304E+00  4.7466E+00
 2.377781E+00  3.8366E+00
 2.541848E+00  3.1095E+00
 2.717235E+00  2.5285E+00
 2.904724E+00  2.0643E+00
 3.105150E+00  1.6935E+00
 3.319406E+00  1.3972E+00
 3.548445E+00  1.1603E+00
 3.793288E+00  9.7101E-01
 4.055024E+00  8.1960E-01
 4.334821E+00  6.9847E-01
 4.633924E+00  6.0148E-01
 4.953664E+00  5.2382E-01
 5.295467E+00  4.6158E-01
 5.660855E+00  4.1168E-01
 6.051453E+00  3.7168E-01
 6.469004E+00  3.3958E-01
 6.915365E+00  3.1382E-01
 7.392525E+00  2.9315E-01
 7.902609E+00  2.7657E-01
 8.447890E+00  2.6327E-01
 9.030794E+00  2.5259E-01
 9.653919E+00  2.4402E-01
 1.032004E+01  2.3714E-01
 1.103212E+01  2.3160E-01
 1.179334E+01  2.2712E-01
 1.260708E+01  2.2348E-01
 1.347697E+01  2.2049E-01
 1.440688E+01  2.1799E-01
 1.540095E+01  2.1587E-01
 1.646362E+01  2.1401E-01
 1.759961E+01  2.1233E-01
 1.881398E+01  2.1078E-01
 2.011215E+01  2.0927E-01
 2.149988E+01  2.0779E-01
 2.298338E+01  2.0627E-01
 2.456923E+01  2.0469E-01
 2.626450E+01  2.0304E-01
 2.807676E+01  2.0129E-01
 3.001405E+01  1.9942E-01
 3.208502E+01  1.9743E-01
 3.429889E+01  1.9532E-01
 3.666551E+01  1.9310E-01
 3.919543E+01  1.9073E-01
 4.189992E+01  1.8825E-01
 4.479101E+01  1.8565E-01
 4.788159E+01  1.8293E-01
 5.118542E+01  1.8011E-01
 5.471721E+01  1.7720E-01
 5.849270E+01  1.7419E-01
 6.252870E+01  1.7112E-01
 6.684318E+01  1.6797E-01
 7.145536E+01  1.6476E-01
 7.638578E+01  1.6151E-01
 8.165640E+01  1.5822E-01
 8.729069E+01  1.5491E-01
 9.331374E+01  1.5159E-01
 9.975239E+01  1.4826E-01
 1.066353E+02  1.4493E-01
 1.139931E+02  1.4160E-01
 1.218587E+02  1.3830E-01
 1.302669E+02  1.3504E-01
 1.392553E+02  1.3181E-01
 1.488640E+02  1.2862E-01
 1.591356E+02  1.2548E-01
 1.701159E+02  1.2240E-01
 1.818539E+02  1.1937E-01
 1.944018E+02  1.1641E-01
 2.078156E+02  1.1353E-01
 2.221548E+02  1.1071E-01
 2.374835E+02  1.0797E-01
 2.538699E+02  1.0531E-01
 2.713869E+02  1.0273E-01
 2.901126E+02  1.0023E-01
 3.101304E+02  9.7822E-02
 3.315294E+02  9.5498E-02
 3.544049E+02  9.3262E-02
 3.788588E+02  9.1115E-02
 4.050001E+02  8.9056E-02
 4.329451E+02  8.7088E-02
