                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 5.043505E-03  1.0134E+05
 5.118781E-03  9.6767E+04
 5.337699E-03  8.4925E+04
 5.419399E-03  8.0997E+04
 5.441185E-03  7.9991E+04
 5.473865E-03  1.4102E+05
 5.555565E-03  1.3407E+05
 1.069000E-02  2.1834E+05
 1.142761E-02  2.4076E+05
 1.221612E-02  2.5886E+05
 1.305903E-02  2.7057E+05
 1.396010E-02  2.7441E+05
 1.492335E-02  2.6981E+05
 1.595306E-02  2.5720E+05
 1.705382E-02  2.3789E+05
 1.823053E-02  2.1379E+05
 1.948844E-02  1.8705E+05
 2.083314E-02  1.5969E+05
 2.227063E-02  1.3338E+05
 2.380730E-02  1.0934E+05
 2.545001E-02  8.8284E+04
 2.720606E-02  7.0467E+04
 2.908327E-02  5.5791E+04
 3.109002E-02  4.3953E+04
 3.323523E-02  3.4557E+04
 3.552846E-02  2.7186E+04
 3.797993E-02  2.1449E+04
 4.060054E-02  1.7005E+04
 4.340198E-02  1.3570E+04
 4.639671E-02  1.0915E+04
 4.959809E-02  8.8566E+03
 5.007800E-02  8.6002E+03
 5.084450E-02  8.2142E+03
 5.104890E-02  8.1159E+03
 5.135550E-02  5.9666E+04
 5.212200E-02  5.4426E+04
 5.302035E-02  4.8980E+04
 5.667876E-02  3.2687E+04
 6.058959E-02  2.2771E+04
 6.477028E-02  1.6760E+04
 6.923942E-02  1.2911E+04
 7.401695E-02  1.0329E+04
 7.912411E-02  8.5278E+03
 8.458368E-02  7.2293E+03
 8.467200E-02  7.2120E+03
 8.596800E-02  6.9689E+03
 8.631360E-02  6.9073E+03
 8.683200E-02  7.5066E+03
 8.812800E-02  7.3078E+03
 9.041995E-02  6.9942E+03
 9.665893E-02  6.3478E+03
 1.033284E-01  5.8859E+03
 1.104581E-01  5.5429E+03
 1.180797E-01  5.2659E+03
 1.262272E-01  5.0341E+03
 1.349368E-01  4.8333E+03
 1.442475E-01  4.6533E+03
 1.542005E-01  4.4869E+03
 1.648404E-01  4.3289E+03
 1.762144E-01  4.1756E+03
 1.883732E-01  4.0244E+03
 2.013709E-01  3.8733E+03
 2.152655E-01  3.7207E+03
 2.301188E-01  3.5647E+03
 2.459970E-01  3.4052E+03
 2.629708E-01  3.2428E+03
 2.811158E-01  3.0779E+03
 3.005128E-01  2.9114E+03
 3.212482E-01  2.7444E+03
 3.280060E-01  2.6924E+03
 3.332000E-01  2.6531E+03
 3.343653E-01  2.6444E+03
 3.363735E-01  5.5239E+03
 3.383000E-01  5.6090E+03
 3.396600E-01  5.6708E+03
 3.417000E-01  7.7851E+03
 3.434143E-01  7.9260E+03
 3.468000E-01  8.2157E+03
 3.671099E-01  1.0296E+04
 3.924405E-01  1.3273E+04
 4.195189E-01  1.5731E+04
 4.484657E-01  1.7233E+04
 4.794098E-01  1.7675E+04
 5.124891E-01  1.7202E+04
 5.208700E-01  1.6978E+04
 5.288425E-01  1.6736E+04
 5.309685E-01  1.6668E+04
 5.341575E-01  1.8825E+04
 5.421300E-01  1.8520E+04
 5.478508E-01  1.8292E+04
 5.479180E-01  1.8289E+04
 5.563045E-01  1.7943E+04
 5.585409E-01  1.7848E+04
 5.618955E-01  1.8629E+04
 5.702820E-01  1.8258E+04
 5.856525E-01  1.7566E+04
 6.260625E-01  1.5750E+04
 6.565020E-01  1.4447E+04
 6.665505E-01  1.4037E+04
 6.692609E-01  1.3928E+04
 6.732495E-01  1.4372E+04
 6.832980E-01  1.3971E+04
 7.154399E-01  1.2769E+04
 7.648052E-01  1.1154E+04
 8.175768E-01  9.7061E+03
 8.739896E-01  8.4288E+03
 9.342948E-01  7.3070E+03
 9.987612E-01  6.3219E+03
 1.067676E+00  5.4184E+03
 1.141345E+00  4.6394E+03
 1.220098E+00  3.9685E+03
 1.304285E+00  3.3942E+03
 1.394281E+00  2.8884E+03
