                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 8.462100E-03  5.3699E+04
 8.588400E-03  5.5921E+04
 1.069000E-02  9.2803E+04
 1.142761E-02  1.0090E+05
 1.221612E-02  1.0653E+05
 1.305903E-02  1.0962E+05
 1.396010E-02  1.1034E+05
 1.492335E-02  1.0895E+05
 1.595306E-02  1.0581E+05
 1.705382E-02  1.0132E+05
 1.823053E-02  9.5856E+04
 1.948844E-02  8.9757E+04
 2.083314E-02  8.3316E+04
 2.227063E-02  7.6767E+04
 2.380730E-02  7.0294E+04
 2.545001E-02  6.4030E+04
 2.720606E-02  5.8066E+04
 2.908327E-02  5.2462E+04
 3.109002E-02  4.7249E+04
 3.323523E-02  4.2439E+04
 3.552846E-02  3.8024E+04
 3.797993E-02  3.3983E+04
 4.060054E-02  3.0305E+04
 4.340198E-02  2.6970E+04
 4.639671E-02  2.3959E+04
 4.959809E-02  2.1247E+04
 5.302035E-02  1.8811E+04
 5.667876E-02  1.6628E+04
 6.058959E-02  1.4676E+04
 6.477028E-02  1.2933E+04
 6.923942E-02  1.1381E+04
 7.401695E-02  9.9991E+03
 7.912411E-02  8.7723E+03
 8.458368E-02  7.6848E+03
 9.041995E-02  6.7221E+03
 9.665893E-02  5.8716E+03
 1.033284E-01  5.1215E+03
 1.087800E-01  4.6052E+03
 1.104581E-01  4.4611E+03
 1.108890E-01  4.4251E+03
 1.115550E-01  1.7049E+05
 1.132200E-01  1.6525E+05
 1.180797E-01  1.5125E+05
 1.262272E-01  1.3135E+05
 1.349368E-01  1.1367E+05
 1.442475E-01  9.8012E+04
 1.542005E-01  8.4219E+04
 1.648404E-01  7.2122E+04
 1.762144E-01  6.1572E+04
 1.883732E-01  5.2422E+04
 2.013709E-01  4.4519E+04
 2.152655E-01  3.7718E+04
 2.301188E-01  3.1887E+04
 2.459970E-01  2.6902E+04
 2.629708E-01  2.2654E+04
 2.811158E-01  1.9042E+04
 3.005128E-01  1.5980E+04
 3.212482E-01  1.3389E+04
 3.434143E-01  1.1202E+04
 3.671099E-01  9.3589E+03
 3.924405E-01  7.8086E+03
 4.195189E-01  6.5069E+03
 4.484657E-01  5.4156E+03
 4.794098E-01  4.5012E+03
 5.124891E-01  3.7364E+03
 5.478508E-01  3.0976E+03
 5.856525E-01  2.5652E+03
 6.260625E-01  2.1221E+03
 6.692609E-01  1.7540E+03
 7.154399E-01  1.4486E+03
 7.648052E-01  1.1954E+03
 8.175768E-01  9.8589E+02
 8.739896E-01  8.1263E+02
 9.342948E-01  6.6949E+02
 9.987612E-01  5.5134E+02
 1.067676E+00  4.5084E+02
 1.141345E+00  3.6863E+02
 1.220098E+00  3.0143E+02
 1.304285E+00  2.4648E+02
 1.394281E+00  2.0158E+02
 1.490486E+00  1.6486E+02
 1.593329E+00  1.3485E+02
 1.703269E+00  1.1032E+02
 1.820795E+00  9.0256E+01
 1.946430E+00  7.3857E+01
 2.080733E+00  6.0449E+01
 2.224304E+00  4.9165E+01
 2.377781E+00  3.9991E+01
 2.541848E+00  3.2541E+01
 2.717235E+00  2.6489E+01
 2.904724E+00  2.1574E+01
 3.105150E+00  1.7518E+01
 3.319406E+00  1.4188E+01
 3.548445E+00  1.1502E+01
 3.793288E+00  9.3328E+00
 4.055024E+00  7.5809E+00
 4.334821E+00  6.1665E+00
 4.633924E+00  5.0244E+00
 4.953664E+00  4.1019E+00
 5.295467E+00  3.3565E+00
 5.660855E+00  2.7540E+00
 6.051453E+00  2.2668E+00
 6.469004E+00  1.8727E+00
 6.915365E+00  1.5537E+00
 7.392525E+00  1.2952E+00
 7.902609E+00  1.0858E+00
 8.447890E+00  9.1596E-01
 9.030794E+00  7.7740E-01
 9.653919E+00  6.6303E-01
 1.032004E+01  5.7052E-01
 1.103212E+01  4.9562E-01
 1.179334E+01  4.3489E-01
 1.260708E+01  3.8559E-01
 1.347697E+01  3.4549E-01
 1.440688E+01  3.1280E-01
 1.540095E+01  2.8611E-01
 1.646362E+01  2.6425E-01
 1.759961E+01  2.4631E-01
 1.881398E+01  2.3151E-01
 2.011215E+01  2.1927E-01
 2.149988E+01  2.0910E-01
 2.298338E+01  2.0059E-01
 2.456923E+01  1.9342E-01
 2.626450E+01  1.8736E-01
 2.807676E+01  1.8214E-01
 3.001405E+01  1.7762E-01
