                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 7.179501E-03  9.2372E+03
 7.225283E-03  9.2985E+03
 7.254329E-03  9.3374E+03
 7.286658E-03  4.5441E+04
 7.297899E-03  4.5514E+04
 7.406823E-03  4.6220E+04
 1.069000E-02  6.4199E+04
 1.142761E-02  6.7239E+04
 1.221612E-02  7.0201E+04
 1.305903E-02  7.3081E+04
 1.396010E-02  7.5867E+04
 1.492335E-02  7.8543E+04
 1.595306E-02  8.1089E+04
 1.705382E-02  8.3479E+04
 1.823053E-02  8.5683E+04
 1.948844E-02  8.7669E+04
 2.083314E-02  8.9401E+04
 2.227063E-02  9.0842E+04
 2.380730E-02  9.1957E+04
 2.545001E-02  9.2709E+04
 2.720606E-02  9.3068E+04
 2.908327E-02  9.3005E+04
 3.109002E-02  9.2415E+04
 3.323523E-02  9.1232E+04
 3.552846E-02  8.9479E+04
 3.797993E-02  8.7191E+04
 4.060054E-02  8.4415E+04
 4.340198E-02  8.1205E+04
 4.639671E-02  7.7628E+04
 4.762800E-02  7.6138E+04
 4.835700E-02  7.5254E+04
 4.855140E-02  7.5018E+04
 4.884300E-02  1.1099E+05
 4.959809E-02  1.0694E+05
 5.302035E-02  9.2074E+04
 5.667876E-02  8.1167E+04
 6.058959E-02  7.3253E+04
 6.477028E-02  6.6892E+04
 6.923942E-02  6.1443E+04
 7.401695E-02  5.6611E+04
 7.912411E-02  5.2253E+04
 8.222200E-02  4.9929E+04
 8.348050E-02  4.9044E+04
 8.381610E-02  4.8814E+04
 8.431950E-02  5.2172E+04
 8.458368E-02  5.1996E+04
 8.557800E-02  5.1343E+04
 9.041995E-02  4.8412E+04
 9.665893E-02  4.5145E+04
 1.033284E-01  4.2140E+04
 1.104581E-01  3.9371E+04
 1.180797E-01  3.6811E+04
 1.262272E-01  3.4431E+04
 1.349368E-01  3.2192E+04
 1.442475E-01  2.9529E+04
 1.542005E-01  2.7010E+04
 1.648404E-01  2.4690E+04
 1.762144E-01  2.2541E+04
 1.883732E-01  2.0541E+04
 2.013709E-01  1.8671E+04
 2.152655E-01  1.6909E+04
 2.301188E-01  1.5251E+04
 2.459970E-01  1.3699E+04
 2.629708E-01  1.2254E+04
 2.811158E-01  1.0920E+04
 3.005128E-01  9.6931E+03
 3.212482E-01  8.5750E+03
 3.434143E-01  7.5622E+03
 3.671099E-01  6.6499E+03
 3.924405E-01  5.8329E+03
 4.195189E-01  5.1051E+03
 4.484657E-01  4.4596E+03
 4.794098E-01  3.8896E+03
 5.124891E-01  3.3879E+03
 5.478508E-01  2.9477E+03
 5.856525E-01  2.5624E+03
 6.260625E-01  2.2261E+03
 6.274940E-01  2.2154E+03
 6.370985E-01  2.1453E+03
 6.383720E-01  2.1363E+03
 6.396597E-01  2.1272E+03
 6.435015E-01  1.3733E+04
 6.481430E-01  1.3495E+04
 6.507486E-01  1.3363E+04
 6.531060E-01  1.8940E+04
 6.546570E-01  1.8831E+04
 6.644280E-01  1.8160E+04
 6.692609E-01  1.7841E+04
 7.154399E-01  1.5154E+04
 7.536200E-01  1.3348E+04
 7.648052E-01  1.2877E+04
 7.651550E-01  1.2863E+04
 7.682310E-01  1.2738E+04
 7.728450E-01  1.4290E+04
 7.843800E-01  1.3809E+04
 8.175768E-01  1.2546E+04
 8.739896E-01  1.0750E+04
 9.342948E-01  9.1997E+03
 9.987612E-01  7.8639E+03
 1.067676E+00  6.6903E+03
 1.141345E+00  5.6582E+03
 1.220098E+00  4.7734E+03
 1.304285E+00  4.0266E+03
 1.394281E+00  3.3886E+03
 1.490486E+00  2.8516E+03
 1.593329E+00  2.3996E+03
 1.703269E+00  2.0189E+03
 1.820795E+00  1.6990E+03
 1.946430E+00  1.4304E+03
 2.080733E+00  1.2047E+03
 2.224304E+00  1.0151E+03
 2.377781E+00  8.5600E+02
 2.541848E+00  7.2231E+02
 2.717235E+00  6.0673E+02
 2.904724E+00  5.0956E+02
 3.105150E+00  4.2502E+02
 3.319406E+00  3.5103E+02
 3.548445E+00  2.9025E+02
 3.793288E+00  2.4029E+02
 4.055024E+00  1.9916E+02
 4.334821E+00  1.6528E+02
 4.633924E+00  1.3733E+02
 4.953664E+00  1.1426E+02
 5.295467E+00  9.5190E+01
 5.660855E+00  7.9409E+01
 6.051453E+00  6.6334E+01
 6.408220E+00  5.6903E+01
 6.469004E+00  5.5488E+01
 6.506305E+00  5.4645E+01
 6.532461E+00  5.4064E+01
 6.571695E+00  4.5727E+02
 6.669780E+00  4.3788E+02
 6.915365E+00  3.9466E+02
 7.392525E+00  3.3147E+02
 7.902609E+00  2.7983E+02
 8.447890E+00  2.3617E+02
 9.030794E+00  1.9808E+02
 9.653919E+00  1.6538E+02
 1.032004E+01  1.3811E+02
 1.103212E+01  1.1536E+02
 1.179334E+01  9.6376E+01
 1.260708E+01  8.0521E+01
 1.347697E+01  6.7017E+01
 1.440688E+01  5.5521E+01
 1.540095E+01  4.5981E+01
 1.646362E+01  3.8090E+01
 1.759961E+01  3.1563E+01
 1.881398E+01  2.6164E+01
 2.011215E+01  2.1698E+01
 2.149988E+01  1.8001E+01
 2.298338E+01  1.4941E+01
 2.456923E+01  1.2408E+01
 2.626450E+01  1.0311E+01
 2.807676E+01  8.5359E+00
 3.001405E+01  7.0311E+00
 3.208502E+01  5.7938E+00
 3.429889E+01  4.7800E+00
 3.666551E+01  3.9494E+00
 3.919543E+01  3.2683E+00
 4.189992E+01  2.7097E+00
 4.479101E+01  2.2516E+00
 4.788159E+01  1.8756E+00
 5.118542E+01  1.5670E+00
 5.471721E+01  1.3136E+00
 5.849270E+01  1.1052E+00
 6.252870E+01  9.3385E-01
 6.684318E+01  7.9285E-01
 7.145536E+01  6.7672E-01
 7.638578E+01  5.8096E-01
 8.165640E+01  5.0137E-01
 8.729069E+01  4.3468E-01
 9.331374E+01  3.7974E-01
 9.975239E+01  3.3438E-01
 1.066353E+02  2.9685E-01
 1.139931E+02  2.6570E-01
 1.218587E+02  2.3977E-01
 1.302669E+02  2.1810E-01
 1.392553E+02  1.9990E-01
 1.488640E+02  1.8452E-01
 1.591356E+02  1.7148E-01
 1.701159E+02  1.6032E-01
 1.818539E+02  1.5072E-01
 1.944018E+02  1.4239E-01
 2.078156E+02  1.3509E-01
 2.221548E+02  1.2865E-01
 2.374835E+02  1.2290E-01
 2.538699E+02  1.1771E-01
 2.713869E+02  1.1301E-01
 2.901126E+02  1.0869E-01
 3.101304E+02  1.0469E-01
 3.315294E+02  1.0096E-01
 3.544049E+02  9.7453E-02
 3.788588E+02  9.4138E-02
 4.050001E+02  9.0983E-02
 4.329451E+02  8.7966E-02
