                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 6.156007E-03  4.0474E+04
 6.247887E-03  3.9638E+04
 7.291108E-03  3.3428E+04
 7.402706E-03  3.3345E+04
 7.432466E-03  3.3339E+04
 7.477105E-03  6.0636E+04
 7.588704E-03  5.9765E+04
 1.069000E-02  7.4256E+04
 1.142761E-02  8.3433E+04
 1.221612E-02  9.3785E+04
 1.305903E-02  1.0484E+05
 1.396010E-02  1.1599E+05
 1.492335E-02  1.2654E+05
 1.595306E-02  1.3569E+05
 1.705382E-02  1.4268E+05
 1.823053E-02  1.4685E+05
 1.948844E-02  1.4775E+05
 2.083314E-02  1.4520E+05
 2.227063E-02  1.3935E+05
 2.380730E-02  1.3062E+05
 2.545001E-02  1.1965E+05
 2.720606E-02  1.0717E+05
 2.908327E-02  9.4012E+04
 3.109002E-02  8.0908E+04
 3.323523E-02  6.8426E+04
 3.552846E-02  5.7012E+04
 3.797993E-02  4.6920E+04
 4.060054E-02  3.8238E+04
 4.340198E-02  3.0932E+04
 4.639671E-02  2.4894E+04
 4.959809E-02  1.9973E+04
 5.066600E-02  1.8611E+04
 5.144150E-02  1.7696E+04
 5.164830E-02  1.7462E+04
 5.195850E-02  3.4762E+04
 5.273400E-02  3.3023E+04
 5.302035E-02  3.2410E+04
 5.667876E-02  2.5731E+04
 6.058959E-02  2.0414E+04
 6.399400E-02  1.6878E+04
 6.477028E-02  1.6187E+04
 6.497350E-02  1.6013E+04
 6.523470E-02  1.5792E+04
 6.562650E-02  2.1854E+04
 6.660600E-02  2.0937E+04
 6.923942E-02  1.8742E+04
 6.967800E-02  1.8411E+04
 7.074450E-02  1.7642E+04
 7.102890E-02  1.7446E+04
 7.145550E-02  1.9026E+04
 7.252200E-02  1.8234E+04
 7.281400E-02  1.8023E+04
 7.392850E-02  1.7241E+04
 7.401695E-02  1.7181E+04
 7.422570E-02  1.7039E+04
 7.467150E-02  1.7927E+04
 7.578600E-02  1.7148E+04
 7.912411E-02  1.5026E+04
 8.458368E-02  1.2274E+04
 9.041995E-02  1.0177E+04
 9.665893E-02  8.6316E+03
 9.966600E-02  8.0838E+03
 1.011915E-01  7.8470E+03
 1.015983E-01  7.7881E+03
 1.022085E-01  7.8886E+03
 1.033284E-01  7.7428E+03
 1.037340E-01  7.6930E+03
 1.104581E-01  7.0797E+03
 1.180797E-01  6.7933E+03
 1.262272E-01  6.8546E+03
 1.349368E-01  7.2246E+03
 1.442475E-01  7.8905E+03
 1.542005E-01  8.8240E+03
 1.648404E-01  9.9771E+03
 1.762144E-01  1.1294E+04
 1.883732E-01  1.2701E+04
 2.013709E-01  1.4109E+04
 2.152655E-01  1.5426E+04
 2.301188E-01  1.6562E+04
 2.459970E-01  1.7438E+04
 2.629708E-01  1.8000E+04
 2.811158E-01  1.8221E+04
 3.005128E-01  1.8088E+04
 3.070340E-01  1.7966E+04
 3.117335E-01  1.7858E+04
 3.129867E-01  1.7826E+04
 3.148665E-01  1.8165E+04
 3.195660E-01  1.8049E+04
 3.212482E-01  1.8004E+04
 3.241840E-01  1.7923E+04
 3.291460E-01  1.7775E+04
 3.304692E-01  1.7733E+04
 3.324540E-01  1.7948E+04
 3.374160E-01  1.7792E+04
 3.434143E-01  1.7592E+04
 3.671099E-01  1.6712E+04
 3.924405E-01  1.5679E+04
 4.195189E-01  1.4559E+04
 4.484657E-01  1.3404E+04
 4.794098E-01  1.2254E+04
 5.0000000E-01  1.1546E+04
 5.0250000E-01  1.1463E+04
 5.0501250E-01  1.1381E+04
 5.0753756E-01  1.1298E+04
 5.1007525E-01  1.1217E+04
 5.1262563E-01  1.1135E+04
 5.1518875E-01  1.1054E+04
 5.1776470E-01  1.0973E+04
 5.1833567E-01  1.0955E+04
 5.1966431E-01  1.1602E+04
 5.2035352E-01  1.1580E+04
 5.2295529E-01  1.1498E+04
 5.2557007E-01  1.1415E+04
 5.2819792E-01  1.1334E+04
 5.3083891E-01  1.1252E+04
 5.3349310E-01  1.1171E+04
 5.3616057E-01  1.1090E+04
 5.3884137E-01  1.1009E+04
 5.4153558E-01  1.0929E+04
 5.4424325E-01  1.0850E+04
 5.4696447E-01  1.0770E+04
 5.4969929E-01  1.0691E+04
 5.5244779E-01  1.0613E+04
 5.5521003E-01  1.0534E+04
 5.5798608E-01  1.0456E+04
 5.6077601E-01  1.0379E+04
 5.6357989E-01  1.0302E+04
 5.6639779E-01  1.0225E+04
 5.6922978E-01  1.0149E+04
 5.7207593E-01  1.0073E+04
 5.7493630E-01  9.9977E+03
 5.7781099E-01  9.9226E+03
 5.8070004E-01  9.8479E+03
 5.8360354E-01  9.7736E+03
 5.8652156E-01  9.6997E+03
 5.8945417E-01  9.6263E+03
 5.9240144E-01  9.5532E+03
 5.9536345E-01  9.4805E+03
 5.9834026E-01  9.4082E+03
 6.0133196E-01  9.3363E+03
 6.0433862E-01  9.2649E+03
 6.0736032E-01  9.1938E+03
 6.0832884E-01  9.1712E+03
 6.1007116E-01  9.2644E+03
 6.1039712E-01  9.2568E+03
 6.1344910E-01  9.1865E+03
 6.1651635E-01  9.1167E+03
 6.1959893E-01  9.0472E+03
 6.2269693E-01  8.9781E+03
 6.2581041E-01  8.9094E+03
 6.2893946E-01  8.8411E+03
 6.3208416E-01  8.7733E+03
 6.3524458E-01  8.7058E+03
 6.3842080E-01  8.6388E+03
 6.4161291E-01  8.5721E+03
 6.4482097E-01  8.5059E+03
 6.4804508E-01  8.4400E+03
 6.5128530E-01  8.3746E+03
 6.5454173E-01  8.3096E+03
 6.5781444E-01  8.2450E+03
 6.6110351E-01  8.1807E+03
 6.6440903E-01  8.1169E+03
 6.6773107E-01  8.0535E+03
 6.7106973E-01  7.9905E+03
 6.7442508E-01  7.9279E+03
 6.7779720E-01  7.8656E+03
 6.8118619E-01  7.8038E+03
 6.8459212E-01  7.7424E+03
 6.8801508E-01  7.6813E+03
 6.9145515E-01  7.6207E+03
 6.9491243E-01  7.5604E+03
 6.9838699E-01  7.5006E+03
 7.0187893E-01  7.4411E+03
 7.0538832E-01  7.3820E+03
 7.0891526E-01  7.3233E+03
 7.1245984E-01  7.2650E+03
 7.1602214E-01  7.2071E+03
 7.1960225E-01  7.1495E+03
 7.2085202E-01  7.1296E+03
 7.2320026E-01  7.2521E+03
 7.2681626E-01  7.1948E+03
 7.3045034E-01  7.1379E+03
 7.3410260E-01  7.0813E+03
 7.3777311E-01  7.0251E+03
 7.4146197E-01  6.9693E+03
 7.4516928E-01  6.9139E+03
 7.4889513E-01  6.8589E+03
 7.5263961E-01  6.8042E+03
 7.5640280E-01  6.7499E+03
 7.6018482E-01  6.6959E+03
 7.6398574E-01  6.6424E+03
 7.6780567E-01  6.5892E+03
 7.7164470E-01  6.5363E+03
 7.7550292E-01  6.4839E+03
 7.7938044E-01  6.4317E+03
 7.8327734E-01  6.3800E+03
 7.8719373E-01  6.3286E+03
 7.9112969E-01  6.2776E+03
 7.9508534E-01  6.2269E+03
 7.9906077E-01  6.1765E+03
 8.0305607E-01  6.1266E+03
 8.0707135E-01  6.0769E+03
 8.1110671E-01  6.0276E+03
 8.1516224E-01  5.9787E+03
 8.1923806E-01  5.9300E+03
 8.2333425E-01  5.8817E+03
 8.2745092E-01  5.8338E+03
 8.3158817E-01  5.7862E+03
 8.3574611E-01  5.7389E+03
 8.3992484E-01  5.6920E+03
 8.4412447E-01  5.6454E+03
 8.4834509E-01  5.5991E+03
 8.5258682E-01  5.5531E+03
 8.5684975E-01  5.5075E+03
 8.6113400E-01  5.4622E+03
 8.6543967E-01  5.4172E+03
 8.6976687E-01  5.3726E+03
 8.7411570E-01  5.3282E+03
 8.7848628E-01  5.2842E+03
 8.8287871E-01  5.2402E+03
 8.8729310E-01  5.1966E+03
 8.9172957E-01  5.1534E+03
 8.9618822E-01  5.1104E+03
 9.0066916E-01  5.0677E+03
 9.0517250E-01  5.0254E+03
 9.0969837E-01  4.9833E+03
 9.1424686E-01  4.9416E+03
 9.1881809E-01  4.9002E+03
 9.2341218E-01  4.8590E+03
 9.2802924E-01  4.8182E+03
 9.3266939E-01  4.7777E+03
 9.3733274E-01  4.7375E+03
 9.4201940E-01  4.6976E+03
 9.4672950E-01  4.6579E+03
 9.5146315E-01  4.6186E+03
