                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.628100E-02  4.3466E+04
 1.652400E-02  4.3615E+04
 1.705382E-02  4.3934E+04
 1.823053E-02  4.4767E+04
 1.948844E-02  4.7567E+04
 2.083314E-02  5.2566E+04
 2.227063E-02  5.9521E+04
 2.380730E-02  6.8209E+04
 2.545001E-02  7.8321E+04
 2.720606E-02  8.9394E+04
 2.908327E-02  1.0080E+05
 3.109002E-02  1.1176E+05
 3.323523E-02  1.2144E+05
 3.552846E-02  1.2904E+05
 3.797993E-02  1.3394E+05
 4.060054E-02  1.3573E+05
 4.340198E-02  1.3433E+05
 4.639671E-02  1.2994E+05
 4.959809E-02  1.2301E+05
 5.302035E-02  1.1414E+05
 5.667876E-02  1.0400E+05
 6.058959E-02  9.3237E+04
 6.477028E-02  8.2413E+04
 6.923942E-02  7.1968E+04
 7.401695E-02  6.2231E+04
 7.585200E-02  5.8880E+04
 7.701300E-02  5.6867E+04
 7.732260E-02  5.6344E+04
 7.778700E-02  6.6368E+04
 7.894800E-02  6.3716E+04
 7.912411E-02  6.3326E+04
 8.458368E-02  5.2700E+04
 9.041995E-02  4.4030E+04
 9.665893E-02  3.7066E+04
 1.033284E-01  3.1393E+04
 1.104581E-01  2.6740E+04
 1.180797E-01  2.2910E+04
 1.194620E-01  2.2315E+04
 1.212905E-01  2.1567E+04
 1.217781E-01  2.1375E+04
 1.225095E-01  2.1902E+04
 1.243380E-01  2.1226E+04
 1.262272E-01  2.0568E+04
 1.349368E-01  1.7972E+04
 1.442475E-01  1.5814E+04
 1.542005E-01  1.4008E+04
 1.648404E-01  1.2487E+04
 1.762144E-01  1.1196E+04
 1.883732E-01  1.0091E+04
 2.013709E-01  9.1359E+03
 2.152655E-01  8.3024E+03
 2.301188E-01  7.5670E+03
 2.459970E-01  6.9113E+03
 2.629708E-01  6.3210E+03
 2.811158E-01  5.7848E+03
 3.005128E-01  5.2940E+03
 3.212482E-01  4.8614E+03
 3.434143E-01  4.4629E+03
 3.671099E-01  4.0904E+03
 3.924405E-01  3.7421E+03
 4.195189E-01  3.4164E+03
 4.342380E-01  3.2565E+03
 4.408845E-01  3.1879E+03
 4.417840E-01  3.1788E+03
 4.426569E-01  3.1699E+03
 4.453155E-01  1.4535E+04
 4.484657E-01  1.4452E+04
 4.485460E-01  1.4450E+04
 4.503492E-01  1.4404E+04
 4.519620E-01  2.2038E+04
 4.530540E-01  2.1996E+04
 4.598160E-01  2.1740E+04
 4.794098E-01  2.1036E+04
 5.124891E-01  1.9837E+04
 5.478508E-01  1.8287E+04
 5.856525E-01  1.6553E+04
 6.260625E-01  1.4793E+04
 6.510140E-01  1.3795E+04
 6.609785E-01  1.3417E+04
 6.636357E-01  1.3319E+04
 6.676215E-01  1.4988E+04
 6.692609E-01  1.4924E+04
 6.775860E-01  1.4606E+04
 6.881560E-01  1.4215E+04
 6.986890E-01  1.3839E+04
 7.014978E-01  1.3741E+04
 7.057110E-01  1.4335E+04
 7.154399E-01  1.4002E+04
 7.162440E-01  1.3975E+04
 7.648052E-01  1.2434E+04
 8.090880E-01  1.1110E+04
 8.175768E-01  1.0877E+04
 8.214720E-01  1.0772E+04
 8.247744E-01  1.0685E+04
 8.297280E-01  1.1034E+04
 8.421120E-01  1.0711E+04
 8.739896E-01  9.9381E+03
 9.342948E-01  8.6791E+03
 9.987612E-01  7.5769E+03
 1.067676E+00  6.5113E+03
 1.141345E+00  5.5897E+03
 1.220098E+00  4.7849E+03
 1.304285E+00  4.0920E+03
 1.394281E+00  3.5004E+03
 1.490486E+00  2.9922E+03
 1.593329E+00  2.5572E+03
 1.703269E+00  2.1868E+03
 1.820795E+00  1.8659E+03
 1.946430E+00  1.5834E+03
 2.080733E+00  1.3458E+03
 2.224304E+00  1.1460E+03
 2.377781E+00  9.7729E+02
 2.541848E+00  8.3486E+02
 2.717235E+00  7.1325E+02
 2.904724E+00  6.0755E+02
 3.105150E+00  5.1145E+02
 3.319406E+00  4.2648E+02
 3.548445E+00  3.5586E+02
 3.655498E+00  3.2848E+02
 3.711449E+00  3.1536E+02
 3.726370E+00  3.1199E+02
 3.748750E+00  1.0627E+03
 3.793288E+00  1.0253E+03
 3.804702E+00  1.0159E+03
 3.859240E+00  9.7308E+02
 3.918310E+00  9.2955E+02
 3.934062E+00  9.1904E+02
 3.957690E+00  1.2585E+03
 4.016760E+00  1.2061E+03
 4.055024E+00  1.1739E+03
 4.152750E+00  1.0979E+03
 4.216313E+00  1.0534E+03
 4.233263E+00  1.0421E+03
 4.258688E+00  1.1843E+03
 4.322250E+00  1.1405E+03
 4.334821E+00  1.1321E+03
 4.633924E+00  9.5858E+02
 4.953664E+00  8.1257E+02
 5.295467E+00  6.8590E+02
 5.660855E+00  5.7761E+02
 6.051453E+00  4.8575E+02
 6.469004E+00  4.0848E+02
 6.915365E+00  3.4363E+02
 7.392525E+00  2.8931E+02
 7.902609E+00  2.4327E+02
 8.447890E+00  2.0446E+02
 9.030794E+00  1.7132E+02
 9.653919E+00  1.4243E+02
 1.032004E+01  1.1855E+02
 1.103212E+01  9.8787E+01
 1.179334E+01  8.2418E+01
 1.260708E+01  6.8836E+01
 1.347697E+01  5.7519E+01
 1.440688E+01  4.8111E+01
 1.540095E+01  4.0296E+01
 1.646362E+01  3.3746E+01
 1.759961E+01  2.8210E+01
 1.881398E+01  2.3559E+01
 2.011215E+01  1.9644E+01
 2.149988E+01  1.6404E+01
 2.298338E+01  1.3717E+01
 2.456923E+01  1.1489E+01
 2.626450E+01  9.6380E+00
 2.738110E+01  8.6019E+00
 2.780020E+01  8.2441E+00
 2.791196E+01  8.1523E+00
 2.807676E+01  4.7142E+01
 2.807960E+01  4.7129E+01
 2.849870E+01  4.5306E+01
 3.001405E+01  3.9491E+01
 3.208502E+01  3.3130E+01
 3.429889E+01  2.7812E+01
 3.666551E+01  2.3342E+01
 3.919543E+01  1.9527E+01
 4.189992E+01  1.6333E+01
 4.479101E+01  1.3660E+01
 4.788159E+01  1.1426E+01
 5.118542E+01  9.5587E+00
 5.471721E+01  8.0002E+00
 5.849270E+01  6.6787E+00
 6.252870E+01  5.5716E+00
 6.684318E+01  4.6523E+00
 7.145536E+01  3.8886E+00
 7.638578E+01  3.2541E+00
 8.165640E+01  2.7228E+00
 8.729069E+01  2.2746E+00
 9.331374E+01  1.9036E+00
 9.975239E+01  1.5964E+00
 1.066353E+02  1.3420E+00
 1.139931E+02  1.1312E+00
 1.218587E+02  9.5641E-01
 1.302669E+02  8.1098E-01
 1.392553E+02  6.9032E-01
 1.488640E+02  5.9011E-01
 1.591356E+02  5.0679E-01
 1.701159E+02  4.3744E-01
 1.818539E+02  3.7964E-01
 1.944018E+02  3.3138E-01
 2.078156E+02  2.9102E-01
 2.221548E+02  2.5719E-01
 2.374835E+02  2.2877E-01
 2.538699E+02  2.0480E-01
 2.713869E+02  1.8453E-01
 2.901126E+02  1.6732E-01
 3.101304E+02  1.5266E-01
 3.315294E+02  1.4009E-01
 3.544049E+02  1.2926E-01
 3.788588E+02  1.1988E-01
 4.050001E+02  1.1170E-01
 4.329451E+02  1.0452E-01
