                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.069000E-02  1.7343E+05
 1.142761E-02  1.6734E+05
 1.221612E-02  1.6095E+05
 1.305903E-02  1.5429E+05
 1.396010E-02  1.4741E+05
 1.492335E-02  1.4036E+05
 1.595306E-02  1.3321E+05
 1.705382E-02  1.2600E+05
 1.823053E-02  1.1880E+05
 1.948844E-02  1.1166E+05
 2.083314E-02  1.0464E+05
 2.227063E-02  9.7787E+04
 2.380730E-02  9.1140E+04
 2.545001E-02  8.4736E+04
 2.720606E-02  7.8604E+04
 2.908327E-02  7.2768E+04
 3.109002E-02  6.7243E+04
 3.323523E-02  6.2040E+04
 3.410400E-02  5.9921E+04
 3.462600E-02  5.8489E+04
 3.476520E-02  5.8115E+04
 3.497400E-02  1.4998E+05
 3.552846E-02  1.4127E+05
 3.797993E-02  1.1050E+05
 4.060054E-02  8.7909E+04
 4.340198E-02  7.1394E+04
 4.639671E-02  5.8993E+04
 4.959809E-02  4.9441E+04
 5.302035E-02  4.1912E+04
 5.667876E-02  3.5857E+04
 6.058959E-02  3.0904E+04
 6.149100E-02  2.9929E+04
 6.173820E-02  2.9671E+04
 6.210900E-02  3.0231E+04
 6.303600E-02  2.9332E+04
 6.477028E-02  2.7778E+04
 6.923942E-02  2.4404E+04
 7.401695E-02  2.1550E+04
 7.912411E-02  1.9109E+04
 8.458368E-02  1.7008E+04
 9.041995E-02  1.5187E+04
 9.665893E-02  1.3601E+04
 1.033284E-01  1.2212E+04
 1.104581E-01  1.0992E+04
 1.180797E-01  9.9159E+03
 1.262272E-01  8.9631E+03
 1.349368E-01  8.1169E+03
 1.442475E-01  7.3629E+03
 1.542005E-01  6.6881E+03
 1.648404E-01  6.0820E+03
 1.762144E-01  5.5358E+03
 1.883732E-01  5.0419E+03
 2.013709E-01  4.5940E+03
 2.152655E-01  4.1864E+03
 2.224600E-01  3.9991E+03
 2.256940E-01  3.9195E+03
 2.258650E-01  3.9153E+03
 2.267730E-01  3.8935E+03
 2.281350E-01  7.0005E+03
 2.291485E-01  7.0703E+03
 2.301188E-01  7.1395E+03
 2.314515E-01  9.3722E+03
 2.315400E-01  9.3843E+03
 2.349060E-01  9.8667E+03
 2.459970E-01  1.1819E+04
 2.629708E-01  1.5691E+04
 2.811158E-01  1.9609E+04
 3.005128E-01  2.2801E+04
 3.212482E-01  2.4814E+04
 3.434143E-01  2.5517E+04
 3.671099E-01  2.5050E+04
 3.844540E-01  2.4187E+04
 3.903385E-01  2.3829E+04
 3.919077E-01  2.3729E+04
 3.924405E-01  2.6445E+04
 3.942615E-01  2.6320E+04
 4.001460E-01  2.5903E+04
 4.015060E-01  2.5804E+04
 4.076515E-01  2.5347E+04
 4.092903E-01  2.5222E+04
 4.117485E-01  2.6175E+04
 4.178940E-01  2.5693E+04
 4.195189E-01  2.5564E+04
 4.484657E-01  2.3240E+04
 4.794098E-01  2.0823E+04
 4.945080E-01  1.9709E+04
 5.020770E-01  1.9170E+04
 5.040954E-01  1.9029E+04
 5.071230E-01  1.9647E+04
 5.124891E-01  1.9272E+04
 5.146920E-01  1.9121E+04
 5.478508E-01  1.6994E+04
 5.856525E-01  1.4907E+04
 6.260625E-01  1.3025E+04
 6.692609E-01  1.1349E+04
 7.154399E-01  9.8605E+03
 7.648052E-01  8.5476E+03
 8.175768E-01  7.3994E+03
 8.739896E-01  6.3952E+03
 9.342948E-01  5.5201E+03
 9.987612E-01  4.7606E+03
 1.067676E+00  4.0372E+03
 1.141345E+00  3.4263E+03
 1.220098E+00  2.9109E+03
 1.304285E+00  2.4760E+03
 1.394281E+00  2.1086E+03
 1.490486E+00  1.7981E+03
 1.593329E+00  1.5339E+03
 1.703269E+00  1.3029E+03
 1.820795E+00  1.1067E+03
 1.946430E+00  9.4143E+02
 2.080733E+00  8.0145E+02
 2.224304E+00  6.8266E+02
 2.377781E+00  5.8224E+02
 2.469796E+00  5.3216E+02
 2.507599E+00  5.1341E+02
 2.517680E+00  5.0858E+02
 2.532801E+00  1.9346E+03
 2.541848E+00  1.9152E+03
 2.572598E+00  1.8514E+03
 2.611974E+00  1.7740E+03
 2.622475E+00  1.7541E+03
 2.638225E+00  2.4057E+03
 2.677602E+00  2.3107E+03
 2.717235E+00  2.2215E+03
 2.808190E+00  2.0392E+03
 2.851172E+00  1.9621E+03
 2.862634E+00  1.9423E+03
 2.879827E+00  2.2004E+03
 2.904724E+00  2.1547E+03
 2.922810E+00  2.1225E+03
 3.105150E+00  1.8272E+03
 3.319406E+00  1.5430E+03
 3.548445E+00  1.2972E+03
 3.793288E+00  1.0896E+03
 4.055024E+00  9.1600E+02
 4.334821E+00  7.7062E+02
 4.633924E+00  6.4866E+02
 4.953664E+00  5.4651E+02
 5.295467E+00  4.5882E+02
 5.660855E+00  3.8413E+02
 6.051453E+00  3.2117E+02
 6.469004E+00  2.6866E+02
 6.915365E+00  2.2499E+02
 7.392525E+00  1.8861E+02
 7.902609E+00  1.5812E+02
 8.447890E+00  1.3268E+02
 9.030794E+00  1.1121E+02
 9.653919E+00  9.2557E+01
 1.032004E+01  7.7102E+01
 1.103212E+01  6.4278E+01
 1.179334E+01  5.3456E+01
 1.260708E+01  4.4446E+01
 1.347697E+01  3.6876E+01
 1.440688E+01  3.0640E+01
 1.540095E+01  2.5496E+01
 1.646362E+01  2.1246E+01
 1.759961E+01  1.7732E+01
 1.881398E+01  1.4822E+01
 1.959951E+01  1.3290E+01
 1.989950E+01  1.2766E+01
 1.997950E+01  1.2630E+01
 2.011215E+01  8.0588E+01
 2.039949E+01  7.7437E+01
 2.149988E+01  6.7047E+01
 2.298338E+01  5.6349E+01
 2.456923E+01  4.7460E+01
 2.626450E+01  3.9932E+01
 2.807676E+01  3.3374E+01
 3.001405E+01  2.7860E+01
 3.208502E+01  2.3268E+01
 3.429889E+01  1.9440E+01
 3.666551E+01  1.6248E+01
 3.919543E+01  1.3588E+01
 4.189992E+01  1.1309E+01
 4.479101E+01  9.3968E+00
 4.788159E+01  7.8133E+00
 5.118542E+01  6.5018E+00
 5.471721E+01  5.4151E+00
 5.849270E+01  4.5143E+00
 6.252870E+01  3.7667E+00
 6.684318E+01  3.1456E+00
 7.145536E+01  2.6310E+00
 7.638578E+01  2.2043E+00
 8.165640E+01  1.8483E+00
 8.729069E+01  1.5488E+00
 9.331374E+01  1.2995E+00
