                [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.069000E-02  1.0761E+05
 1.142761E-02  1.0713E+05
 1.221612E-02  1.0653E+05
 1.305903E-02  1.0576E+05
 1.396010E-02  1.0482E+05
 1.492335E-02  1.0367E+05
 1.595306E-02  1.0230E+05
 1.705382E-02  1.0071E+05
 1.823053E-02  9.8873E+04
 1.948844E-02  9.6802E+04
 2.083314E-02  9.4499E+04
 2.227063E-02  9.1974E+04
 2.380730E-02  8.9242E+04
 2.545001E-02  8.6323E+04
 2.720606E-02  8.3240E+04
 2.908327E-02  8.0018E+04
 3.109002E-02  7.6686E+04
 3.323523E-02  7.3272E+04
 3.552846E-02  6.9808E+04
 3.704400E-02  6.7625E+04
 3.761100E-02  6.6831E+04
 3.776220E-02  6.6621E+04
 3.797993E-02  1.4047E+05
 3.798900E-02  1.4032E+05
 3.855600E-02  1.3165E+05
 4.060054E-02  1.0746E+05
 4.340198E-02  8.5002E+04
 4.639671E-02  7.0730E+04
 4.959809E-02  6.0848E+04
 5.302035E-02  5.3352E+04
 5.667876E-02  4.7341E+04
 6.058959E-02  4.2369E+04
 6.477028E-02  3.8195E+04
 6.517000E-02  3.7844E+04
 6.616750E-02  3.7002E+04
 6.643350E-02  3.6784E+04
 6.683250E-02  4.0957E+04
 6.783000E-02  4.0195E+04
 6.923942E-02  3.9185E+04
 7.401695E-02  3.6250E+04
 7.912411E-02  3.3751E+04
 8.458368E-02  3.1604E+04
 9.041995E-02  2.9746E+04
 9.665893E-02  2.8119E+04
 1.033284E-01  2.6668E+04
 1.104581E-01  2.5340E+04
 1.180797E-01  2.4091E+04
 1.262272E-01  2.2882E+04
 1.349368E-01  2.1685E+04
 1.442475E-01  2.0481E+04
 1.542005E-01  1.9257E+04
 1.648404E-01  1.7996E+04
 1.762144E-01  1.6705E+04
 1.883732E-01  1.5401E+04
 2.013709E-01  1.4106E+04
 2.152655E-01  1.2837E+04
 2.301188E-01  1.1614E+04
 2.459970E-01  1.0451E+04
 2.629708E-01  9.3587E+03
 2.811158E-01  8.3437E+03
 3.005128E-01  7.4096E+03
 3.212482E-01  6.5578E+03
 3.434143E-01  5.7869E+03
 3.671099E-01  5.0939E+03
 3.924405E-01  4.4745E+03
 4.195189E-01  3.9235E+03
 4.484657E-01  3.4356E+03
 4.794098E-01  3.0047E+03
 5.026420E-01  2.7307E+03
 5.100900E-01  2.6505E+03
 5.103355E-01  2.6479E+03
 5.124891E-01  2.6254E+03
 5.154645E-01  1.8073E+04
 5.178975E-01  1.7877E+04
 5.199795E-01  1.7711E+04
 5.231025E-01  2.5019E+04
 5.231580E-01  2.5013E+04
 5.309100E-01  2.4170E+04
 5.478508E-01  2.2465E+04
 5.856525E-01  1.9226E+04
 6.156360E-01  1.7094E+04
 6.250590E-01  1.6490E+04
 6.260625E-01  1.6427E+04
 6.275718E-01  1.6334E+04
 6.313410E-01  1.8307E+04
 6.407640E-01  1.7707E+04
 6.692609E-01  1.6048E+04
 7.154399E-01  1.3787E+04
 7.648052E-01  1.1815E+04
 8.175768E-01  1.0113E+04
 8.739896E-01  8.6469E+03
 9.342948E-01  7.3668E+03
 9.987612E-01  6.2729E+03
 1.067676E+00  5.2911E+03
 1.141345E+00  4.4533E+03
 1.220098E+00  3.7475E+03
 1.304285E+00  3.1528E+03
 1.394281E+00  2.6524E+03
 1.490486E+00  2.2318E+03
 1.593329E+00  1.8786E+03
 1.703269E+00  1.5818E+03
 1.820795E+00  1.3327E+03
 1.946430E+00  1.1234E+03
 2.080733E+00  9.4670E+02
 2.224304E+00  7.9330E+02
 2.377781E+00  6.6559E+02
 2.541848E+00  5.5873E+02
 2.717235E+00  4.6782E+02
 2.904724E+00  3.9211E+02
 3.105150E+00  3.2602E+02
 3.319406E+00  2.6907E+02
 3.548445E+00  2.2234E+02
 3.793288E+00  1.8396E+02
 4.055024E+00  1.5239E+02
 4.334821E+00  1.2640E+02
 4.633924E+00  1.0498E+02
 4.953664E+00  8.7312E+01
 5.295467E+00  7.2715E+01
 5.355798E+00  7.0501E+01
 5.437774E+00  6.7642E+01
 5.459635E+00  6.6907E+01
 5.492425E+00  5.9404E+02
 5.574402E+00  5.6905E+02
 5.660855E+00  5.4421E+02
 6.051453E+00  4.5433E+02
 6.469004E+00  3.8275E+02
 6.915365E+00  3.2327E+02
 7.392525E+00  2.7203E+02
 7.902609E+00  2.2812E+02
 8.447890E+00  1.9114E+02
 9.030794E+00  1.5997E+02
 9.653919E+00  1.3340E+02
 1.032004E+01  1.1125E+02
 1.103212E+01  9.2693E+01
 1.179334E+01  7.6740E+01
 1.260708E+01  6.3507E+01
 1.347697E+01  5.2570E+01
 1.440688E+01  4.3529E+01
 1.540095E+01  3.6053E+01
 1.646362E+01  2.9871E+01
 1.759961E+01  2.4758E+01
 1.881398E+01  2.0528E+01
 2.011215E+01  1.7029E+01
 2.149988E+01  1.4133E+01
 2.298338E+01  1.1736E+01
 2.456923E+01  9.7222E+00
 2.626450E+01  8.0403E+00
 2.807676E+01  6.6223E+00
 3.001405E+01  5.4517E+00
 3.208502E+01  4.4936E+00
 3.429889E+01  3.7095E+00
 3.666551E+01  3.0677E+00
 3.919543E+01  2.5421E+00
 4.189992E+01  2.1115E+00
 4.479101E+01  1.7587E+00
 4.788159E+01  1.4694E+00
 5.118542E+01  1.2320E+00
 5.471721E+01  1.0372E+00
 5.849270E+01  8.7722E-01
 6.252870E+01  7.4565E-01
 6.684318E+01  6.3741E-01
 7.145536E+01  5.4823E-01
 7.638578E+01  4.7467E-01
 8.165640E+01  4.1350E-01
 8.729069E+01  3.6221E-01
 9.331374E+01  3.1989E-01
 9.975239E+01  2.8489E-01
 1.066353E+02  2.5584E-01
 1.139931E+02  2.3166E-01
 1.218587E+02  2.1145E-01
 1.302669E+02  1.9446E-01
 1.392553E+02  1.8011E-01
 1.488640E+02  1.6792E-01
 1.591356E+02  1.5748E-01
 1.701159E+02  1.4848E-01
 1.818539E+02  1.4064E-01
 1.944018E+02  1.3378E-01
 2.078156E+02  1.2769E-01
 2.221548E+02  1.2226E-01
 2.374835E+02  1.1735E-01
 2.538699E+02  1.1287E-01
 2.713869E+02  1.0876E-01
 2.901126E+02  1.0495E-01
 3.101304E+02  1.0138E-01
 3.315294E+02  9.8023E-02
 3.544049E+02  9.4842E-02
 3.788588E+02  9.1810E-02
 4.050001E+02  8.8906E-02
 4.329451E+02  8.6115E-02
