                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 2.572800E-02  1.8234E+05
 2.611200E-02  1.7165E+05
 2.720606E-02  1.4523E+05
 2.908327E-02  1.1049E+05
 3.109002E-02  8.2879E+04
 3.323523E-02  6.1580E+04
 3.552846E-02  4.5632E+04
 3.797993E-02  3.3917E+04
 4.060054E-02  2.5402E+04
 4.340198E-02  1.9240E+04
 4.449200E-02  1.7412E+04
 4.517300E-02  1.6396E+04
 4.535460E-02  1.6140E+04
 4.562700E-02  1.6639E+04
 4.630800E-02  1.5782E+04
 4.639671E-02  1.5676E+04
 4.959809E-02  1.2540E+04
 5.302035E-02  1.0275E+04
 5.667876E-02  8.6163E+03
 6.058959E-02  7.3860E+03
 6.477028E-02  6.4588E+03
 6.923942E-02  5.7467E+03
 7.401695E-02  5.1882E+03
 7.912411E-02  4.7400E+03
 8.458368E-02  4.3716E+03
 9.041995E-02  4.0617E+03
 9.665893E-02  3.7954E+03
 1.033284E-01  3.5619E+03
 1.104581E-01  3.3540E+03
 1.180797E-01  3.1657E+03
 1.262272E-01  2.9928E+03
 1.349368E-01  2.8319E+03
 1.442475E-01  2.6805E+03
 1.542005E-01  2.5368E+03
 1.542520E-01  2.5361E+03
 1.564080E-01  2.5072E+03
 1.566130E-01  2.5044E+03
 1.572426E-01  2.4961E+03
 1.581870E-01  5.3086E+03
 1.588020E-01  5.3845E+03
 1.594404E-01  5.4655E+03
 1.603980E-01  7.4866E+03
 1.605480E-01  7.5201E+03
 1.627920E-01  8.0490E+03
 1.648404E-01  8.5778E+03
 1.762144E-01  1.2441E+04
 1.883732E-01  1.7531E+04
 2.013709E-01  2.2817E+04
 2.152655E-01  2.7502E+04
 2.301188E-01  3.0975E+04
 2.459970E-01  3.2935E+04
 2.629708E-01  3.3389E+04
 2.811158E-01  3.2559E+04
 2.942940E-01  3.1414E+04
 2.987985E-01  3.0954E+04
 2.999997E-01  3.0827E+04
 3.005128E-01  3.3672E+04
 3.018015E-01  3.3534E+04
 3.061520E-01  3.3053E+04
 3.063060E-01  3.3036E+04
 3.108380E-01  3.2516E+04
 3.120876E-01  3.2371E+04
 3.139620E-01  3.3363E+04
 3.186480E-01  3.2808E+04
 3.212482E-01  3.2496E+04
 3.434143E-01  2.9794E+04
 3.671099E-01  2.6958E+04
 3.857280E-01  2.4859E+04
 3.916320E-01  2.4224E+04
 3.924405E-01  2.4138E+04
 3.932064E-01  2.4057E+04
 3.955680E-01  2.4867E+04
 4.014720E-01  2.4245E+04
 4.195189E-01  2.2447E+04
 4.484657E-01  1.9879E+04
 4.794098E-01  1.7526E+04
 5.124891E-01  1.5390E+04
 5.478508E-01  1.3472E+04
 5.856525E-01  1.1764E+04
 6.260625E-01  1.0250E+04
 6.692609E-01  8.9113E+03
 7.154399E-01  7.7303E+03
 7.648052E-01  6.6932E+03
 8.175768E-01  5.7858E+03
 8.739896E-01  4.9947E+03
 9.342948E-01  4.3066E+03
 9.987612E-01  3.7100E+03
 1.067676E+00  3.1499E+03
 1.141345E+00  2.6762E+03
 1.220098E+00  2.2732E+03
 1.304285E+00  1.9208E+03
 1.394281E+00  1.6237E+03
 1.490486E+00  1.3747E+03
 1.593329E+00  1.1655E+03
 1.703269E+00  9.8866E+02
 1.820795E+00  8.3993E+02
 1.946430E+00  7.1465E+02
 2.038400E+00  6.3964E+02
 2.069600E+00  6.1682E+02
 2.077920E+00  6.1094E+02
 2.080733E+00  2.5868E+03
 2.090400E+00  2.5528E+03
 2.112390E+00  2.4775E+03
 2.121600E+00  2.4469E+03
 2.144722E+00  2.3722E+03
 2.153344E+00  2.3452E+03
 2.166277E+00  3.2342E+03
 2.198610E+00  3.1028E+03
 2.224304E+00  3.0061E+03
 2.325050E+00  2.6725E+03
 2.360637E+00  2.5693E+03
 2.370127E+00  2.5428E+03
 2.377781E+00  2.9016E+03
 2.384362E+00  2.8817E+03
 2.419950E+00  2.7776E+03
 2.541848E+00  2.4621E+03
 2.717235E+00  2.0950E+03
 2.904724E+00  1.7780E+03
 3.105150E+00  1.5004E+03
 3.319406E+00  1.2604E+03
 3.548445E+00  1.0596E+03
 3.793288E+00  8.9165E+02
 4.055024E+00  7.5100E+02
 4.334821E+00  6.3053E+02
 4.633924E+00  5.2713E+02
 4.953664E+00  4.4018E+02
 5.295467E+00  3.6746E+02
 5.660855E+00  3.0706E+02
 6.051453E+00  2.5659E+02
 6.469004E+00  2.1460E+02
 6.915365E+00  1.7969E+02
 7.392525E+00  1.5063E+02
 7.902609E+00  1.2635E+02
 8.447890E+00  1.0611E+02
 9.030794E+00  8.8995E+01
 9.653919E+00  7.3814E+01
 1.032004E+01  6.1250E+01
 1.103212E+01  5.0679E+01
 1.179334E+01  4.1991E+01
 1.260708E+01  3.4840E+01
 1.347697E+01  2.8951E+01
 1.440688E+01  2.4094E+01
 1.540095E+01  2.0082E+01
 1.646362E+01  1.6765E+01
 1.669763E+01  1.6141E+01
 1.695321E+01  1.5496E+01
 1.702136E+01  1.5330E+01
 1.712359E+01  1.0341E+02
 1.737917E+01  9.9018E+01
 1.759961E+01  9.5432E+01
 1.881398E+01  7.9496E+01
 2.011215E+01  6.6884E+01
