                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 9.246000E-03  7.4131E+05
 9.384000E-03  7.3286E+05
 1.069000E-02  6.6255E+05
 1.142761E-02  6.2891E+05
 1.221612E-02  5.9643E+05
 1.305903E-02  5.6486E+05
 1.396010E-02  5.3402E+05
 1.492335E-02  5.0377E+05
 1.595306E-02  4.7403E+05
 1.705382E-02  4.4479E+05
 1.823053E-02  4.1603E+05
 1.948844E-02  3.8782E+05
 2.083314E-02  3.6019E+05
 2.227063E-02  3.3325E+05
 2.380730E-02  3.0708E+05
 2.545001E-02  2.8178E+05
 2.578380E-02  2.7695E+05
 2.617845E-02  2.7137E+05
 2.628369E-02  2.6990E+05
 2.644155E-02  2.8517E+05
 2.683620E-02  2.8046E+05
 2.720606E-02  2.7618E+05
 2.908327E-02  2.5629E+05
 3.109002E-02  2.3770E+05
 3.323523E-02  2.2002E+05
 3.552846E-02  2.0317E+05
 3.797993E-02  1.8706E+05
 4.060054E-02  1.7153E+05
 4.340198E-02  1.5663E+05
 4.639671E-02  1.4241E+05
 4.959809E-02  1.2892E+05
 5.302035E-02  1.1622E+05
 5.667876E-02  1.0434E+05
 6.058959E-02  9.3299E+04
 6.477028E-02  8.3116E+04
 6.923942E-02  7.3783E+04
 7.401695E-02  6.5282E+04
 7.912411E-02  5.7584E+04
 8.458368E-02  5.0650E+04
 9.041995E-02  4.4437E+04
 9.665893E-02  3.8894E+04
 1.033284E-01  3.3969E+04
 1.104581E-01  2.9607E+04
 1.180797E-01  2.5750E+04
 1.262272E-01  2.2350E+04
 1.349368E-01  1.9364E+04
 1.442475E-01  1.6749E+04
 1.542005E-01  1.4467E+04
 1.648404E-01  1.2478E+04
 1.762144E-01  1.0730E+04
 1.883732E-01  9.1764E+03
 2.013709E-01  7.8407E+03
 2.152655E-01  6.6942E+03
 2.301188E-01  5.7115E+03
 2.459970E-01  4.8701E+03
 2.629708E-01  4.1506E+03
 2.811158E-01  3.5358E+03
 3.005128E-01  3.0110E+03
 3.212482E-01  2.5633E+03
 3.434143E-01  2.1816E+03
 3.671099E-01  1.8564E+03
 3.924405E-01  1.5795E+03
 3.935680E-01  1.5686E+03
 3.995920E-01  1.5119E+03
 4.011984E-01  1.4973E+03
 4.036080E-01  3.0009E+04
 4.096320E-01  2.9063E+04
 4.195189E-01  2.7603E+04
 4.484657E-01  2.3892E+04
 4.794098E-01  2.0593E+04
 5.124891E-01  1.7652E+04
 5.478508E-01  1.5059E+04
 5.856525E-01  1.2797E+04
 6.260625E-01  1.0838E+04
 6.692609E-01  9.1536E+03
 7.154399E-01  7.7114E+03
 7.648052E-01  6.4823E+03
 8.175768E-01  5.4386E+03
 8.739896E-01  4.5552E+03
 9.342948E-01  3.8094E+03
 9.987612E-01  3.1812E+03
 1.067676E+00  2.6510E+03
 1.141345E+00  2.2061E+03
 1.220098E+00  1.8336E+03
 1.304285E+00  1.5225E+03
 1.394281E+00  1.2632E+03
 1.490486E+00  1.0473E+03
 1.593329E+00  8.6789E+02
 1.703269E+00  7.1555E+02
 1.820795E+00  5.8960E+02
 1.946430E+00  4.8583E+02
 2.080733E+00  4.0035E+02
 2.224304E+00  3.2994E+02
 2.377781E+00  2.7193E+02
 2.541848E+00  2.2414E+02
 2.717235E+00  1.8477E+02
 2.904724E+00  1.5234E+02
 3.105150E+00  1.2496E+02
 3.319406E+00  1.0202E+02
 3.548445E+00  8.3307E+01
 3.793288E+00  6.8043E+01
 4.055024E+00  5.5590E+01
 4.334821E+00  4.5428E+01
 4.633924E+00  3.7136E+01
 4.953664E+00  3.0370E+01
 5.295467E+00  2.4848E+01
 5.660855E+00  2.0340E+01
 6.051453E+00  1.6660E+01
 6.469004E+00  1.3656E+01
 6.915365E+00  1.1203E+01
 7.392525E+00  9.1994E+00
 7.902609E+00  7.5352E+00
 8.447890E+00  6.1714E+00
 9.030794E+00  5.0575E+00
 9.653919E+00  4.1376E+00
 1.032004E+01  3.3933E+00
 1.103212E+01  2.7910E+00
 1.179334E+01  2.3032E+00
 1.260708E+01  1.9080E+00
 1.347697E+01  1.5878E+00
 1.440688E+01  1.3280E+00
 1.540095E+01  1.1174E+00
 1.646362E+01  9.4626E-01
 1.759961E+01  8.0721E-01
 1.881398E+01  6.9407E-01
 2.011215E+01  6.0190E-01
 2.149988E+01  5.2671E-01
 2.298338E+01  4.6527E-01
 2.456923E+01  4.1494E-01
 2.626450E+01  3.7363E-01
 2.807676E+01  3.3915E-01
 3.001405E+01  3.1063E-01
 3.208502E+01  2.8707E-01
 3.429889E+01  2.6750E-01
 3.666551E+01  2.5116E-01
 3.919543E+01  2.3740E-01
